Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44799,4.7744,1.8202,,,1.5278,,,,2.9987,1.6886,4.1089,,5.0949,,3.6733
44801,6.2634,1.6608,,,5.0994,,,,3.2101,2.0294,5.46,,5.2309,,3.0244
44804,5.7594,1.7353,,,0.3875,,,,3.28,1.4971,5.7562,,5.8841,,3.2111
44808,5.8592,1.5826,,,2.2342,,,,5.5145,1.9936,5.3579,,4.7685,,2.4843
44813,6.047,1.922,,,4.5157,,,,4.7141,5.7301,5.8776,,4.6898,,3.7685
44815,5.9936,1.8516,,,2.5483,,,,6.8509,6.7141,5.6056,,3.4115,,6.0859
44820,8.0588,,,,2.2875,,,,8.3092,5.7655,7.3774,,8.2595,,5.0762
44822,6.2813,,,,2.1706,,,,6.1965,4.7072,5.5396,,5.8206,,4.4981
44827,6.5291,,,,1.688,,,,6.7381,2.6967,5.5553,,5.7693,,3.9047
44829,6.8323,,,,2.1147,,,,7.8711,6.2192,5.9718,,6.562,,
44834,6.8066,2.3877,,,1.9077,,,,6.9744,6.1214,5.8941,,5.8446,,5.5724
44836,6.6337,2.6306,,,2.403,,,,7.8587,3.3939,5.9926,,6.0299,,4.1483
44841,6.165,2.6271,,,2.1956,,,,6.7734,2.7607,5.7469,,5.4776,,4.4626
44843,6.4613,2.2406,,,2.096,,,,7.5587,3.1437,5.7077,,5.7516,,3.9155
44848,5.9456,2.1435,,,2.1952,,,,6.7051,2.5752,5.0721,,5.6105,,3.472
44850,6.2533,2.3691,,,0.9404,,,,7.1649,2.8406,5.14,,6.1346,,5.8642
44855,5.9647,1.6697,,,1.4358,,,,6.768,1.4116,5.3138,,5.314,,3.6279
44862,6.8101,2.1772,,,3.3896,,,,7.514,1.918,6.1358,,6.3158,,4.1767
44864,6.8778,2.2929,,,1.9451,,,,7.0404,2.6705,6.3675,,6.6561,,5.0594
45010,6.299,4.1799,,,5.5006,,,,5.4494,4.6573,5.5196,,5.9403,,4.5246
45017,10.4713,10.3099,,,10.0148,,,,7.8893,7.8429,10.1643,,10.7428,,0.0
45032,9.8176,7.6095,,,9.2621,,,,10.6696,6.1492,9.1455,,8.6158,,6.9975
45035,3.9453,5.1885,,,2.8403,,,,,1.1038,5.0288,,0.773,,0.7546
45039,6.9099,6.276,,,7.7384,,,,8.1699,,6.4925,,4.6115,,7.0934
45156,6.3151,3.2795,2.8799,3.8533,3.6962,,4.9534,3.587,5.7337,3.2437,5.2753,4.2976,3.0772,4.7495,3.4936
45159,6.3854,2.198,2.2975,2.4927,2.2787,,4.969,2.414,6.381,3.1575,4.7131,4.3596,4.6765,,2.249
45163,6.4067,2.2216,2.2651,2.1726,1.9481,,6.408,2.8852,6.6763,2.9608,5.5827,4.3821,5.9908,5.3136,
45165,6.2537,,2.5281,2.3792,,,5.4501,2.4249,6.8875,4.7767,6.037,6.2401,,5.2273,2.3359
45170,5.8722,1.9473,1.7649,1.4988,1.47,,6.0607,1.5783,6.1754,2.3641,6.1737,5.22,5.5123,4.836,1.9284
45172,5.8463,2.5193,2.1469,2.3706,0.2567,,5.3288,2.4146,5.2571,2.7914,5.6617,6.1064,5.3361,5.2565,2.4288
45177,4.8431,,1.7005,1.6278,1.7886,,5.7327,1.9919,6.336,2.3766,5.0835,5.9447,,5.0211,2.3529
45179,7.0098,1.5938,1.7649,1.6004,1.6445,,5.8982,1.8315,7.3028,1.7337,6.2742,5.542,5.8856,5.4806,1.9109
45184,,0.6489,1.857,1.9362,1.8053,,6.124,2.1778,6.5963,2.6118,6.1589,5.1456,4.1411,4.3767,3.1691
45186,,1.5898,1.5375,1.6723,,,5.6199,1.9776,6.5452,2.8373,5.5766,2.6244,6.0685,,3.3621
45191,,2.5121,1.5555,1.7095,,,5.9071,,6.6449,3.2544,5.3834,1.4113,4.9394,4.8335,2.6337
45198,,2.5127,,,,,6.3291,,5.6466,3.1327,6.1591,7.1289,,5.9526,2.8751
45200,,3.956,,,,,5.9026,,5.665,4.1854,5.3518,5.5954,5.556,4.3128,4.6146
45205,,2.5549,2.6765,2.2039,,,6.5562,,7.2072,2.4656,6.0786,7.3297,6.6156,5.9642,3.3138
45207,,2.3945,2.0451,2.0164,,,6.0548,1.8911,6.6784,3.5418,6.0064,7.0846,5.9998,5.2635,2.7444
45212,,2.4566,,,,,5.5022,,5.6404,3.3371,6.1122,6.1557,4.8587,,3.2979
45219,,0.2389,1.7261,1.9096,,,3.8625,1.7435,4.0214,1.5429,3.7017,4.0127,3.8832,3.4237,3.47
45221,,0.3985,1.6144,1.6377,,,5.9346,,6.2741,2.4314,5.8336,6.57,6.0408,4.8787,3.1197
45226,,1.6548,1.6716,1.4267,,,6.0918,0.2233,7.0934,4.0715,6.1714,6.9628,6.0446,5.8071,3.2048
45228,,1.9271,1.763,0.6748,,,7.3396,2.3511,6.0801,4.5677,7.4441,7.2367,6.2306,7.245,4.2975
45232,,1.6798,1.4011,1.6174,,,5.3701,1.7276,6.472,4.0341,5.8374,4.835,5.6589,5.7444,3.0505
45389,,,5.4596,10.0664,,5.7861,3.0498,2.9315,10.3599,4.979,,9.9257,9.6678,9.4741,4.9569
45396,5.349,,4.0114,5.4451,5.019,4.7279,5.3135,4.31,6.5401,5.2735,,5.7914,5.1631,4.1288,5.3742
45402,,,,6.9332,6.9478,,5.8607,5.7628,6.9594,3.2225,,7.5683,6.6718,7.3675,6.4692
45403,8.0427,,,5.9788,8.3707,,4.6756,4.4451,6.1292,4.9293,,,5.3345,8.1021,4.6456
45409,,,,6.9155,,3.7142,4.6951,4.2571,6.5383,5.6942,,6.4481,5.5971,6.6856,5.91
