Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,1.1479,0.0174,,,0.1529,,,,0.7363,0.026,1.0749,,0.963,,0.7696
44804,1.2291,0.1072,,,0.0674,,,,0.6533,0.0501,1.2441,,1.1425,,0.5092
44808,1.1619,0.0188,,,0.02,,,,1.2337,0.0057,1.0838,,0.8637,,0.3866
44813,1.2386,0.0037,,,1.2477,,,,0.904,0.75,1.2421,,0.4269,,0.5757
44815,1.1517,0.0435,,,0.0384,,,,1.2362,1.3347,0.9775,,0.4471,,0.9655
44820,1.1402,,,,0.0499,,,,1.411,0.7554,1.0333,,1.1699,,0.8859
44822,1.2341,,,,0.0375,,,,1.3947,1.4911,1.0171,,1.2016,,0.6482
44827,1.1172,,,,0.0182,,,,1.3647,0.8658,1.0103,,1.0742,,0.4212
44829,1.2371,,,,0.0504,,,,1.5419,0.2597,1.0964,,1.1961,,
44834,1.3599,0.0955,,,0.0693,,,,1.5873,0.8925,1.125,,1.3056,,0.5709
44836,1.2208,0.0343,,,0.0377,,,,1.4316,0.4697,1.0555,,1.0851,,0.6368
44841,1.1284,0.0842,,,0.0894,,,,1.2812,0.0484,0.9819,,1.0607,,0.729
44843,1.175,0.1225,,,0.0882,,,,1.4516,0.1983,1.1974,,1.1178,,1.1623
44848,1.0852,0.0694,,,0.0524,,,,1.3399,0.0214,0.8938,,0.9295,,0.3685
44850,1.0992,0.0694,,,0.0333,,,,1.3746,0.0153,1.0243,,1.12,,1.135
44855,1.2558,0.106,,,0.0749,,,,1.4612,0.0383,1.0964,,1.092,,0.4155
44862,1.3052,0.0539,,,0.0851,,,,1.4807,0.044,1.229,,1.2345,,0.8164
44864,1.1484,0.0587,,,0.059,,,,1.2976,0.0475,1.066,,1.1091,,0.793
45010,0.9629,0.6909,,,0.8309,,,,1.1416,0.7683,0.8989,,0.8858,,0.7299
45035,0.931,1.0472,,,0.8492,,,,,0.3147,0.873,,0.0704,,0.0
45156,1.0974,0.179,0.0052,0.3073,0.7557,,1.0227,0.0335,0.8687,0.3951,0.9429,0.8892,0.0168,0.5826,0.6422
45159,1.0926,0.0115,0.0092,0.2146,0.016,,1.1176,0.0432,1.3543,0.4652,0.8687,0.3873,0.8024,,0.0111
45163,1.1437,0.0247,0.0396,0.1262,0.0374,,1.075,0.0667,1.2792,0.2624,0.8662,0.3838,0.8704,0.6629,
45165,1.1884,,0.0453,0.149,,,1.2331,0.0813,1.507,0.6732,1.2514,1.2394,,1.0005,0.5247
45170,1.028,0.0367,0.0343,0.0935,0.0451,,1.112,0.0836,1.2585,0.0403,1.1601,1.1833,1.1348,1.0592,0.0524
45172,1.1657,0.0336,0.0298,0.0841,0.0,,1.2316,0.08,1.2699,0.033,1.0213,1.326,1.1759,1.0572,0.4618
45177,1.05,,0.0215,0.0331,0.0163,,1.1249,0.0574,1.2536,0.6561,0.853,0.7779,,0.7242,0.0152
45179,1.2018,0.025,0.0305,0.0575,0.037,,0.9594,0.0784,1.4052,0.627,0.9271,1.3384,0.764,0.8981,0.0356
45184,,0.0135,0.033,0.0468,0.0319,,1.1387,0.086,1.3119,0.4577,1.074,1.2321,0.8866,,0.5067
45186,,0.0412,0.0272,0.0595,,,1.1139,0.072,1.3768,0.0318,1.0804,0.0,1.2072,,0.5723
45191,,0.0326,0.0383,0.0543,,,1.1961,,1.4306,0.5295,1.0695,0.0,0.9839,1.2189,0.3941
45198,,0.053,,,,,1.2009,,1.4665,0.6658,1.165,1.3857,,0.9923,0.2004
45200,,0.0566,,,,,1.1307,,1.3578,0.3391,1.101,1.1063,1.2219,0.9437,0.7383
45205,,0.1411,0.0289,0.0512,,,1.1117,,1.3555,0.2267,1.0672,1.2632,1.1734,1.0431,0.3777
45207,,0.0354,,0.062,,,1.1923,,,0.2969,1.19,1.4478,1.2279,1.1128,0.5477
45212,,0.0089,,,,,1.0072,,1.2786,0.3036,1.2176,1.1747,0.8981,,0.4375
45219,,0.016,0.0151,0.0,,,1.0938,0.0,1.2026,0.0133,1.1183,1.1889,1.1518,0.9036,0.8435
45221,,0.0226,0.0203,0.0215,,,1.1197,,1.3861,0.3068,1.0558,1.2165,1.2933,1.1489,0.5946
45226,,0.0164,0.0192,0.0374,,,1.1276,0.0,1.3321,0.3613,1.1051,1.301,1.2313,1.1628,0.3426
45228,,0.0536,0.0479,0.0729,,,1.0811,0.08,0.6643,0.6533,1.0293,1.3144,0.4961,1.1696,0.612
45232,,0.0853,0.0346,0.0734,,,0.9719,0.1023,1.3981,0.591,1.1626,1.1612,1.1446,1.1353,0.4955
45389,,,0.9411,1.1821,,0.8498,0.9279,0.6991,1.1978,1.0959,,1.0619,1.1079,1.0731,1.0594
45396,0.8968,,0.5981,1.2532,1.0727,0.8055,1.0438,0.7845,1.2764,1.029,,1.2179,1.0154,0.9422,1.0438
45409,,,,1.1358,,0.5804,0.8552,0.6105,1.0868,0.9792,,1.1849,0.9757,1.0237,0.9494
