Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44797,41.1863,42.1092,,,40.4183,,,40.7799,35.9885,35.5354,,34.989,,38.358
44798,33.2109,29.4008,,,26.7833,,,30.9244,34.6925,28.6109,,25.9741,,30.6019
44799,56.5664,17.8186,,,35.6962,,,38.2345,37.5772,79.9593,,50.2928,,42.7298
44801,52.9553,17.7558,,,46.0185,,,29.007,18.2121,61.3689,,55.3657,,31.4153
44803,43.5732,45.5225,,,39.7286,,,47.8758,42.6555,40.8721,,42.5865,,45.1118
44804,59.5111,17.9879,,,5.1639,,,34.0378,15.5095,62.94,,43.0533,,33.2977
44806,33.8174,37.0486,,,32.5684,,,31.7192,32.5922,26.3844,,35.4655,,34.8293
44807,27.3334,20.2588,,,18.5302,,,30.6326,32.4075,23.1874,,32.4524,,23.974
44808,54.621,15.3659,,,20.8035,,,47.8509,17.5736,54.2938,,43.1333,,22.2321
44810,53.9138,50.8008,,,51.5187,,,50.0912,55.7245,52.1071,,55.1343,,53.9184
44811,38.5194,40.9208,,,,,,36.9354,46.7528,46.3603,,36.7739,,38.2787
44812,32.7591,32.6789,,,41.1022,,,44.2466,49.4815,34.6218,,39.6799,,37.0805
44813,63.4262,18.834,,,45.106,,,46.2599,49.883,64.944,,47.6138,,33.5876
44815,63.4866,19.6346,,,26.2024,,,72.6235,71.1348,62.2878,,36.1515,,67.1917
44817,51.7043,56.2344,,,60.0243,,,54.8367,51.6557,54.3552,,55.5516,,59.2831
44818,36.7186,,,,,,,30.6783,46.7983,38.385,,42.0387,,43.8516
44819,31.0002,,,,26.3644,,,34.301,32.7593,33.5413,,32.7832,,30.5277
44820,63.3269,,,,16.2531,,,57.6851,42.061,63.378,,50.7922,,42.944
44821,36.8503,,,,36.905,,,33.1667,48.978,32.9164,,36.6402,,33.5315
44822,62.9569,,,,22.2309,,,78.3274,41.1934,61.1531,,63.3854,,52.5581
44824,36.8736,,,,43.3339,,,23.9007,38.3714,,,36.5336,,35.9542
44825,38.2191,,,,,,,36.5757,36.9835,34.9519,,35.3826,,38.848
44826,34.1295,,,,40.7191,,,41.1908,45.237,32.631,,36.365,,36.0019
44827,69.357,,,,18.7441,,,76.3302,27.7814,60.5518,,60.8437,,45.7568
44828,32.5957,,,,26.8137,,,33.9092,45.1651,30.1555,,28.5563,,19.5602
44829,64.7049,,,,19.986,,,74.7771,58.806,61.7325,,62.7978,,
44831,41.889,,,,48.3173,,,36.8745,40.9309,35.5073,,40.1102,,36.2692
44832,34.9356,,,,39.0362,,,40.8889,43.6607,37.0173,,36.9908,,44.0752
44833,,20.6775,,,26.7792,,,30.4638,29.5404,23.5164,,32.6465,,22.4737
44834,66.8822,23.1321,,,24.0414,,,66.8509,59.8806,67.7467,,60.1859,,62.5743
44836,66.4066,25.0456,,,23.3572,,,59.2802,32.8772,59.4583,,58.9086,,40.1929
44839,43.648,41.9763,,,,,,44.5861,42.9978,39.9638,,39.756,,39.9167
44840,36.0879,30.4152,,,41.2955,,,35.5075,41.2204,35.8212,,37.8861,,33.8197
44841,67.8861,21.2618,,,22.5398,,,74.6885,29.083,59.009,,59.3029,,52.4604
44843,66.1833,23.1861,,,21.8302,,,71.0966,29.079,62.7939,,60.0411,,40.9621
44845,35.955,42.4964,,,40.317,,,36.118,35.6197,31.66,,37.1012,,33.9474
44846,37.8567,36.8752,,,44.3644,,,43.1365,43.6695,35.6954,,39.8055,,40.1085
44847,30.8066,22.7779,,,35.0874,,,29.8567,34.0357,23.1287,,37.9768,,27.9149
44848,69.9628,24.405,,,25.7898,,,78.0629,30.0784,59.3372,,63.6981,,42.0393
44849,34.8421,23.2203,,,38.4416,,,34.0921,35.5008,20.0669,,35.8141,,28.8193
44850,56.7984,23.6426,,,10.5822,,,74.7781,25.1693,54.9758,,54.385,,58.0053
44852,60.1097,57.5213,,,61.4486,,,60.7794,54.5529,57.2929,,58.6952,,55.534
44853,42.2005,38.1191,,,41.9177,,,38.4429,36.5273,33.465,,37.0229,,35.0812
44854,33.4563,22.8765,,,29.0008,,,36.6487,35.9366,27.5776,,32.9489,,25.6631
44855,72.9792,19.9168,,,25.885,,,78.8617,16.2767,61.8873,,65.4071,,44.7054
44857,100.3581,126.8072,,,105.1649,,,126.1561,102.6551,95.6456,,90.2473,,87.2672
44859,47.1447,46.4994,,,48.3156,,,53.8246,49.7441,38.5173,,39.059,,43.0632
44860,38.3368,30.1944,,,,,,38.2445,42.4606,27.6497,,36.0005,,38.4497
44861,49.2965,42.0833,,,47.9186,,,48.4206,40.1561,43.5387,,47.5404,,46.7332
44862,70.5187,22.3201,,,36.8504,,,74.0822,18.9893,69.2312,,63.5269,,41.2003
44864,64.4223,21.3544,,,18.2156,,,65.4244,26.0053,62.9199,,60.7883,,49.1343
45147,64.2618,57.0447,,28.7821,65.2103,,30.44,63.0796,62.8729,68.1788,35.6268,66.4073,,58.1129
45148,36.9665,39.3456,36.7375,34.1111,38.9071,,41.7788,37.0152,66.07,37.3632,36.181,37.9588,,
45149,37.1703,30.7686,29.367,27.5482,37.9571,31.7378,35.8839,33.7298,30.5387,31.7343,31.7766,31.7141,25.4292,31.7081
45150,46.3521,49.1226,47.9478,49.3752,48.5799,44.8562,52.2702,64.3349,47.7331,52.2952,47.6477,53.8683,45.4576,57.8501
45151,45.2209,,36.1306,39.7095,,42.7229,,49.4042,43.2356,44.7171,37.7754,,,45.2549
45154,33.0043,35.4073,31.8709,29.0622,36.3311,34.1224,28.6274,35.403,27.4201,32.8415,34.9762,36.2139,34.3961,30.767
45155,39.0756,38.3225,34.4572,36.3475,37.8341,41.142,,42.9109,23.1571,36.3152,38.2824,37.4954,32.4835,35.5667
45156,61.2485,33.1039,28.1631,37.7357,39.4457,50.1049,35.6299,59.783,35.8245,55.146,41.9637,31.2937,41.6395,39.0853
45157,38.8493,42.6333,39.2441,34.1203,42.9262,34.671,42.165,34.891,44.8746,31.611,36.7952,37.8222,36.7088,38.0115
45158,22.6159,29.5967,27.8184,27.0053,29.1067,22.3106,31.254,28.673,28.226,23.3079,29.0812,25.9502,33.6095,30.1619
45159,55.8597,20.5,21.4364,26.3863,22.7868,45.0064,22.5735,59.8906,31.2514,46.768,39.8601,46.5242,,24.3298
45161,22.1592,25.2323,25.0166,24.5392,25.631,22.0092,29.3686,28.9519,23.3461,23.203,23.1189,21.9715,26.1689,24.3913
45163,67.0607,19.5268,21.0065,23.0541,21.0394,57.3728,26.1866,70.1494,31.4622,59.2772,38.813,63.6461,55.752,
45164,,31.9695,32.9678,,31.5506,28.9427,34.5683,24.9233,28.6314,26.71,26.0884,27.4615,35.637,
45165,62.209,,26.6355,25.0399,,56.6425,25.4453,69.3925,50.9096,64.1437,65.5083,,45.7406,26.6834
45167,53.9349,60.3084,54.1327,54.9502,47.6163,47.7357,52.1189,57.7828,51.2281,53.3311,,53.3585,54.3712,54.5704
45168,28.5987,,32.0559,25.9114,,30.8796,31.9703,37.1292,29.3318,29.5077,31.9493,31.1867,14.412,33.7684
45169,,42.5337,37.8507,33.4925,,36.091,44.6828,44.4343,40.151,35.9349,41.3886,38.8179,44.14,41.456
45170,62.7451,20.3872,12.9368,16.3306,17.295,66.6699,17.2651,65.7224,24.8155,62.7252,56.9541,58.3631,53.0338,21.2109
45171,,36.0811,31.9053,32.6453,35.1076,34.9965,32.8477,35.4198,32.4144,31.6697,34.3763,,,35.0995
45172,54.5117,26.5283,21.5274,27.2018,6.7293,60.3861,22.8454,54.6892,32.8632,65.0133,59.6316,43.0421,56.1537,27.88
45175,32.5872,,25.3692,30.1687,,38.9976,37.5726,28.8525,23.6408,26.8168,28.0142,29.0273,,29.3945
45177,62.7391,,14.8679,17.0925,19.0591,60.4978,17.5016,66.8132,25.2095,53.7226,51.6906,,57.418,26.2449
45178,27.9426,39.8361,35.4271,35.0782,37.5004,35.744,39.3826,36.1201,39.8881,26.0072,42.2213,41.3158,38.8858,37.7508
45179,53.6815,16.3983,15.6751,16.3638,16.6927,56.9766,18.4973,70.6999,21.9928,59.4893,54.1479,53.1931,59.7235,19.5377
45181,19.7596,45.2671,44.2679,42.3168,,,46.3815,47.3484,42.2206,38.5626,45.167,39.3499,46.1771,41.2773
45182,,,33.4713,34.3977,,39.1199,35.3224,43.5226,39.0269,38.8493,37.6298,39.3543,45.7762,41.6639
45183,,28.4756,23.2387,23.8541,,32.1503,29.5138,34.1451,28.6656,28.6381,28.1612,28.6513,30.5091,26.1141
45184,,11.7351,18.6047,22.9799,20.1317,65.1613,24.7397,70.1869,29.3218,65.475,58.6061,62.4507,54.6584,38.6082
45186,,17.8903,17.2594,18.666,,63.7072,22.0174,73.9368,31.4509,62.5488,79.3654,68.3122,,38.108
45188,,41.4541,39.5742,39.8105,,39.8099,45.9361,40.7603,39.7022,37.5428,40.2916,36.6681,43.2317,37.3525
45189,,1.3893,40.2776,40.2938,,43.7551,,44.0867,45.1952,36.1844,45.6236,44.1666,,39.6742
45190,,,,23.7103,,35.2246,32.3517,,36.5697,31.073,17.7662,36.4517,33.9709,34.6772
