Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44799,56.5664,17.8186,,,35.6962,,,,38.2345,37.5772,79.9593,,50.2928,,42.7298
44801,95.0874,17.7558,,,103.8231,,,,58.7593,25.2867,102.4557,,88.2029,,61.4197
44804,88.1985,56.5432,,,9.7339,,,,47.4283,50.4409,95.1953,,98.9366,,78.072
44808,86.3692,50.4759,,,46.8394,,,,91.7086,42.0151,90.7968,,81.075,,42.2435
44813,105.3712,65.4281,,,106.1481,,,,76.9088,111.8824,105.6751,,99.9617,,57.845
44815,99.5724,58.1748,,,60.1883,,,,118.3967,114.9656,89.6423,,63.1314,,97.2576
44820,98.7378,,,,60.0328,,,,114.0205,89.7069,99.1927,,108.4423,,86.0775
44822,101.1561,,,,55.1404,,,,117.7425,122.2244,85.379,,98.4915,,100.4777
44827,104.7391,,,,47.4298,,,,126.4646,80.2322,93.6213,,99.6569,,99.601
44829,101.0608,,,,59.7951,,,,125.8566,107.3869,89.5639,,97.6311,,
44834,98.8714,60.7321,,,57.3304,,,,110.153,116.8611,89.4215,,90.438,,90.7903
44836,103.5887,43.6663,,,45.3175,,,,121.4714,46.165,89.5583,,94.9173,,54.0294
44841,94.5866,65.1242,,,64.8896,,,,113.7172,61.4052,89.8276,,88.9111,,71.8794
44843,86.9147,63.8568,,,62.4489,,,,103.0493,62.9389,84.0287,,79.3348,,80.4552
44848,102.7371,56.9624,,,61.4219,,,,126.8429,59.2638,84.6106,,87.9908,,55.944
44850,87.8707,54.3359,,,47.2276,,,,113.4398,55.0783,74.309,,81.5079,,93.9632
44855,100.2813,55.9618,,,58.2636,,,,118.1663,53.4416,87.5531,,90.3673,,79.6202
44862,102.3473,52.1831,,,77.0521,,,,113.3817,49.8609,101.9399,,98.5267,,62.5165
44864,98.148,47.6973,,,42.6769,,,,104.5697,42.9504,97.8099,,89.7732,,93.6326
45010,101.5014,72.5156,,,107.1673,,,,119.8238,82.1165,101.2351,,96.2569,,82.377
45017,87.3334,81.9895,,,86.0217,,,,88.5791,62.1902,79.9063,,82.077,,0.0
45032,87.6264,76.9246,,,88.0037,,,,96.9016,66.3931,83.4434,,77.3184,,61.4455
45035,103.6691,119.4883,,,99.7911,,,,,68.3704,102.3186,,58.4035,,65.3061
45039,86.5922,100.4186,,,96.7515,,,,106.1605,,78.1424,,79.2848,,84.7853
45156,99.8701,56.0769,56.6259,55.4398,68.7759,,93.0738,67.9931,105.5817,54.3441,85.8133,80.9218,79.5432,60.1983,58.5934
45159,87.8046,53.362,67.4208,102.8779,64.0122,,91.6982,46.4592,107.0994,46.8618,79.5865,75.2259,65.6883,,58.2203
45163,98.6,64.2593,62.9706,59.7538,61.5638,,92.6829,60.6487,110.2842,56.4213,79.7572,78.6541,91.3786,73.8226,
45165,89.9282,,63.7026,63.9384,,,90.1072,63.6818,108.5131,89.2303,93.0281,92.1761,,72.0411,63.2492
