Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,1524.0,1525.0,,,1525.0,,,,1525.0,1525.0,1525.0,,1524.0,,1525.0
44804,1357.0,1357.0,,,1357.0,,,,1357.0,1357.0,1357.0,,1357.0,,1357.0
44808,1369.0,1369.0,,,1369.0,,,,1369.0,1369.0,1369.0,,1369.0,,1369.0
44813,1129.0,1129.0,,,1129.0,,,,1129.0,1129.0,1129.0,,1129.0,,1129.0
44815,1193.0,1193.0,,,1193.0,,,,1193.0,1193.0,1193.0,,1193.0,,1193.0
44820,1243.0,,,,1242.0,,,,1243.0,1243.0,1242.0,,1127.0,,1127.0
44822,1137.0,,,,1137.0,,,,1137.0,1137.0,1137.0,,1137.0,,1137.0
44827,1360.0,,,,1360.0,,,,1360.0,1360.0,1360.0,,1360.0,,1360.0
44829,1419.0,,,,1419.0,,,,1419.0,1419.0,1419.0,,1419.0,,
44834,1472.0,1472.0,,,398.0,,,,1472.0,1472.0,1238.0,,1472.0,,1472.0
44836,1081.0,1081.0,,,1081.0,,,,1081.0,1081.0,1081.0,,1081.0,,1081.0
44841,1187.0,1187.0,,,1187.0,,,,1187.0,1187.0,1187.0,,1187.0,,1382.0
44843,1531.0,1531.0,,,1531.0,,,,1531.0,1531.0,1531.0,,1531.0,,1334.0
44848,1298.0,1298.0,,,1298.0,,,,1298.0,1298.0,1298.0,,1298.0,,1298.0
44850,1271.0,1271.0,,,1271.0,,,,1271.0,1271.0,1271.0,,1271.0,,1271.0
44855,1213.0,1213.0,,,0.0,,,,1213.0,1213.0,1213.0,,1213.0,,1213.0
44862,1215.0,1215.0,,,1215.0,,,,1215.0,1215.0,1215.0,,1215.0,,1215.0
44864,1118.0,1118.0,,,1118.0,,,,1118.0,1118.0,1118.0,,1118.0,,1118.0
45010,1056.0,1056.0,,,1056.0,,,,1056.0,1056.0,1056.0,,1056.0,,1056.0
45035,610.0,949.0,,,0.0,,,,,0.0,949.0,,0.0,,0.0
45156,1260.0,1260.0,1260.0,1260.0,1260.0,,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0
45159,1107.0,1107.0,1107.0,1107.0,1107.0,,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,,1107.0
45163,1491.0,1491.0,1491.0,1491.0,1491.0,,1491.0,1491.0,1491.0,1491.0,1491.0,1491.0,1491.0,1491.0,
45165,1398.0,,1398.0,1398.0,,,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,,1398.0,1398.0
45170,1361.0,1361.0,1361.0,1361.0,1082.0,,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0
45172,1406.0,1406.0,1355.0,1368.0,1376.0,,1406.0,1397.0,1406.0,1157.0,1361.0,1406.0,1406.0,1406.0,1374.0
45177,1342.0,,1342.0,1342.0,1342.0,,1342.0,1342.0,1342.0,1342.0,1342.0,1342.0,,1342.0,1342.0
45179,1482.0,1482.0,1482.0,1482.0,1482.0,,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0
45184,,1241.0,1241.0,1241.0,1241.0,,1241.0,1241.0,1241.0,1241.0,1241.0,1241.0,1241.0,,1241.0
45186,,1298.0,1298.0,1298.0,,,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0,1298.0,,1298.0
45191,,1251.0,1251.0,1251.0,,,1251.0,,1251.0,1251.0,1251.0,0.0,1251.0,1251.0,1251.0
45198,,1405.0,,,,,1405.0,,1405.0,1405.0,1405.0,1405.0,,1405.0,1405.0
45200,,1460.0,,,,,1460.0,,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0
45205,,1360.0,1360.0,1360.0,,,1360.0,,1360.0,1360.0,1360.0,1360.0,1360.0,1360.0,1360.0
45207,,1246.0,,1246.0,,,1246.0,,,1246.0,1246.0,1246.0,1246.0,1246.0,1246.0
45212,,1119.0,,,,,1119.0,,1119.0,1119.0,1119.0,1119.0,1119.0,,1119.0
45219,,,,0.0,,,1159.0,0.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0
45221,,1362.0,1044.0,1362.0,,,1362.0,,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0
45226,,1672.0,1672.0,1672.0,,,1672.0,0.0,1672.0,1672.0,1580.0,1672.0,1672.0,1672.0,1672.0
45228,,1359.0,1359.0,1359.0,,,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0
45232,,1520.0,1520.0,1520.0,,,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0
45396,1254.0,,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,,1254.0,1254.0,1254.0,1254.0
45409,,,,1082.0,,1082.0,1082.0,1082.0,1082.0,1082.0,,1082.0,1082.0,1082.0,1082.0
