Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44804,2243.0,2243.0,,,209.0,,,,2243.0,2243.0,2081.0,,2243.0,,2243.0
44808,2118.0,2118.0,,,2118.0,,,,2118.0,2118.0,2118.0,,2118.0,,2118.0
44813,1877.0,1877.0,,,1877.0,,,,1877.0,1877.0,1877.0,,1877.0,,1877.0
44815,2280.0,2255.0,,,2283.0,,,,2240.0,2257.0,2217.0,,2257.0,,2259.0
44820,2274.0,,,,2594.0,,,,2594.0,2309.0,2318.0,,2633.0,,2241.0
44822,2591.0,,,,2602.0,,,,527.0,499.0,2439.0,,2602.0,,2425.0
44827,2453.0,,,,2458.0,,,,2458.0,2458.0,2454.0,,2456.0,,2458.0
44829,2234.0,,,,2234.0,,,,2234.0,2234.0,2234.0,,2234.0,,
44834,2319.0,2316.0,,,2740.0,,,,2308.0,2321.0,2639.0,,2677.0,,2313.0
44836,2990.0,2990.0,,,2990.0,,,,2990.0,2990.0,2990.0,,2990.0,,2990.0
44841,2304.0,2304.0,,,2304.0,,,,2304.0,2304.0,2304.0,,2304.0,,2421.0
44843,2105.0,2105.0,,,2105.0,,,,2105.0,2105.0,2105.0,,2105.0,,2223.0
44848,2296.0,2305.0,,,2305.0,,,,2264.0,2268.0,2294.0,,2305.0,,2294.0
44850,2398.0,2397.0,,,402.0,,,,2397.0,2397.0,2392.0,,2397.0,,2398.0
44855,2012.0,2012.0,,,2012.0,,,,2013.0,2012.0,2005.0,,2012.0,,2013.0
44862,2839.0,2839.0,,,2839.0,,,,2839.0,2839.0,2836.0,,2839.0,,2839.0
44864,3214.0,3188.0,,,3211.0,,,,3186.0,3185.0,3211.0,,3214.0,,3177.0
45010,1965.0,1979.0,,,1954.0,,,,0.0,1969.0,1977.0,,1961.0,,1974.0
45017,823.0,948.0,,,914.0,,,,0.0,908.0,929.0,,932.0,,0.0
45035,791.0,1082.0,,,1082.0,,,,,1082.0,1082.0,,1082.0,,1082.0
45039,1047.0,1450.0,,,1450.0,,,,1450.0,,1437.0,,1409.0,,1421.0
45156,2394.0,2394.0,2394.0,2394.0,2394.0,,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0
45159,2457.0,2458.0,2458.0,1708.0,2360.0,,2457.0,2457.0,2458.0,2376.0,2378.0,2458.0,2388.0,,1670.0
45163,2366.0,2373.0,2373.0,2344.0,2348.0,,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,
45165,2447.0,,2162.0,2135.0,,,2178.0,2156.0,2310.0,2169.0,2133.0,2134.0,,2446.0,2152.0
45170,2254.0,2254.0,2254.0,2041.0,2254.0,,1984.0,2254.0,2254.0,2254.0,2254.0,2254.0,2254.0,2254.0,2254.0
45172,2387.0,2149.0,2387.0,2151.0,0.0,,2200.0,2387.0,2140.0,2149.0,2151.0,2387.0,2387.0,2181.0,2141.0
45179,2293.0,2010.0,2293.0,2041.0,2103.0,,2057.0,2071.0,2081.0,218.0,2076.0,2080.0,2052.0,1467.0,2078.0
45184,,0.0,2232.0,2162.0,2186.0,,2163.0,2175.0,2226.0,2210.0,2224.0,2196.0,131.0,,2081.0
45186,,1838.0,1846.0,1846.0,,,1801.0,1846.0,1838.0,1846.0,1840.0,0.0,1838.0,,1838.0
45191,,2117.0,2117.0,2117.0,,,2117.0,,2117.0,2101.0,2105.0,2117.0,2117.0,1925.0,2117.0
45198,,2285.0,,,,,2247.0,,121.0,2285.0,2279.0,2285.0,,2285.0,2244.0
45200,,2010.0,,,,,2188.0,,2026.0,1993.0,1986.0,2030.0,2192.0,1985.0,2023.0
45205,,2474.0,2547.0,2548.0,,,2548.0,,2548.0,2548.0,2549.0,2543.0,2548.0,2536.0,2534.0
45207,,2118.0,,2047.0,,,2108.0,,,2119.0,2119.0,2063.0,2118.0,1507.0,1141.0
45212,,2116.0,,,,,2091.0,,2111.0,2088.0,2067.0,2117.0,2126.0,,2122.0
45219,,0.0,2258.0,0.0,,,834.0,0.0,2280.0,2273.0,2280.0,2255.0,2254.0,2258.0,2277.0
45221,,239.0,2203.0,2185.0,,,2205.0,,2205.0,449.0,2215.0,2222.0,1985.0,236.0,1724.0
45226,,1504.0,1503.0,1195.0,,,1493.0,0.0,1504.0,1009.0,1504.0,1504.0,1503.0,651.0,1493.0
45228,,2161.0,2173.0,0.0,,,2170.0,2167.0,2184.0,2184.0,2185.0,2179.0,2097.0,2184.0,2184.0
45232,,2123.0,2038.0,2099.0,,,2092.0,2088.0,2123.0,2123.0,2123.0,411.0,2123.0,2123.0,2086.0
45389,,,1569.0,1569.0,,545.0,1569.0,1569.0,1569.0,1442.0,,1569.0,1569.0,1563.0,1569.0
45396,2413.0,,2425.0,2431.0,2425.0,2463.0,2427.0,2430.0,2626.0,2428.0,,2421.0,2427.0,592.0,2418.0
45409,,,,1282.0,,0.0,0.0,0.0,1282.0,1282.0,,1277.0,820.0,1282.0,1282.0
