Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44799,4.217,1.3075,,,2.6038,,,,2.7187,2.7387,6.0437,,3.7693,,3.2541
44801,7.0636,1.3254,,,8.1745,,,,4.7833,2.0678,7.7046,,6.752,,4.7579
44804,6.5743,4.3513,,,0.6734,,,,3.8341,3.8608,7.2888,,7.5601,,6.0487
44808,6.475,3.8263,,,3.604,,,,7.4745,3.139,6.8823,,6.2442,,3.2202
44813,8.1221,5.0559,,,8.3823,,,,6.3678,9.0976,8.136,,7.8584,,4.5603
44815,7.6355,4.4827,,,4.7113,,,,9.3772,9.1343,6.8527,,4.807,,7.5319
44820,7.4516,,,,4.7561,,,,9.086,7.1982,7.519,,8.3776,,6.6902
44822,7.6487,,,,4.4137,,,,9.1918,9.6016,6.4256,,7.5332,,7.9745
44827,7.9932,,,,3.7806,,,,10.1953,6.5376,7.1054,,7.8081,,7.8041
44829,7.8205,,,,4.8254,,,,10.1436,8.3238,6.8592,,7.5562,,
44834,7.5416,4.7749,,,4.61,,,,8.8915,9.3857,6.8418,,7.0522,,7.2595
44836,8.0002,3.3736,,,3.5771,,,,9.7334,3.6668,6.7408,,7.2528,,4.3338
44841,7.0763,5.0712,,,5.2671,,,,8.8891,4.7399,6.6838,,6.7889,,5.5993
44843,6.4185,5.001,,,5.0796,,,,8.1073,4.997,6.4248,,6.0041,,6.4512
44848,7.7326,4.4063,,,5.0276,,,,10.1546,4.658,6.3037,,6.6852,,4.3577
44850,6.7829,4.1562,,,3.3326,,,,9.1385,4.4406,5.6439,,6.3166,,7.3176
44855,7.6316,4.3699,,,4.7737,,,,9.3554,4.2067,6.7194,,6.8057,,6.3719
44862,7.903,4.0258,,,6.1424,,,,9.1466,3.9479,7.8368,,7.6016,,5.0924
44864,7.4335,3.6759,,,3.4075,,,,8.2678,3.335,7.581,,6.868,,7.4567
45010,7.7395,5.6905,,,8.5445,,,,9.3737,6.3915,7.7863,,7.4626,,6.548
45017,6.6207,6.2297,,,6.8489,,,,6.8147,4.8826,6.0848,,6.2415,,0.0
45032,6.6027,5.7711,,,6.8835,,,,7.6544,5.1914,6.2777,,5.8674,,4.9231
45035,7.8573,9.0961,,,7.8962,,,,,5.2649,8.1069,,4.3174,,5.0705
45039,6.5387,7.7697,,,7.4313,,,,8.3911,,5.9122,,6.1836,,6.761
45156,7.5256,4.2315,4.296,4.1058,5.5528,,7.1938,5.5044,8.3293,4.0138,6.724,6.3542,5.9266,4.5558,4.6443
45159,6.4576,4.1253,5.5373,7.8912,5.1383,,6.8806,3.5544,8.485,3.6327,6.0171,5.7513,5.1245,,4.7946
45163,7.3452,4.9276,4.897,4.512,4.7657,,7.0909,4.6391,8.755,4.3062,5.978,6.1208,7.0576,5.8564,
45165,6.6862,,4.9363,4.7731,,,6.8222,4.9144,8.4763,6.9507,7.0823,7.123,,5.6879,4.9395
45170,6.1986,4.268,4.2187,3.4642,4.2964,,6.7139,3.359,7.6456,4.2851,7.2562,7.1213,6.9158,6.605,4.3598
45172,6.5893,5.1664,4.1215,3.9429,0.9302,,6.4387,3.9544,8.0381,4.6308,7.3973,7.2076,6.4243,5.9058,4.5119
45177,7.0474,,1.1,1.2244,1.4225,,7.786,1.2699,8.9719,4.7187,6.629,7.2627,,7.7474,4.4115
45179,7.4175,4.268,4.0053,3.7687,4.3253,,5.7614,4.0239,8.3065,3.4608,6.2735,7.285,6.3035,6.7158,3.9369
45184,,2.9109,4.4655,4.4256,5.1027,,7.377,4.6648,8.8853,4.1085,7.5676,8.4001,7.9873,4.3504,4.2793
45186,,4.7314,4.5321,4.3591,,,7.7242,5.1205,9.8921,4.2458,7.4521,7.4378,8.5589,,4.6853
45191,,4.582,3.957,4.0238,,,6.6059,,8.0438,4.2096,6.3982,4.3946,6.5902,6.9082,3.7799
45198,,5.303,,,,,6.8402,,8.5279,4.0715,6.9297,7.7021,,6.6145,4.5937
45200,,7.1798,,,,,6.4646,,7.9479,6.0684,6.2072,7.0561,7.052,6.084,6.7573
45205,,5.0325,4.5414,4.6028,,,7.5166,,9.2902,3.8405,7.0396,8.5062,7.9936,7.4293,4.1428
45207,,4.7663,1.8299,4.6816,,,7.1177,1.6808,6.0593,6.1713,7.3878,8.7529,7.4148,7.0943,4.6127
45212,,4.7675,,,,,6.9848,,9.3115,4.2054,8.7675,8.3681,6.6282,,4.7544
45219,,2.4913,4.424,2.1279,,,7.5831,2.2675,8.5717,4.4358,7.851,8.1611,8.1608,6.9109,6.2024
45221,,1.1217,3.8365,4.0725,,,7.5313,,9.7886,4.8181,7.0688,8.2665,8.9304,8.4285,4.2405
45226,,5.3268,5.2362,4.6485,,,6.635,0.2106,8.0967,7.681,6.5218,7.6393,7.357,7.3225,5.2583
45228,,4.5961,4.1056,2.1635,,,7.4904,4.6798,9.6849,5.2126,9.2177,8.0132,7.3258,8.0559,5.6524
45232,,4.3997,3.7818,3.718,,,6.5729,4.1061,8.7798,4.958,7.2851,7.9104,7.0894,7.416,4.1408
45389,,,7.7896,8.7951,,6.148,7.1823,7.0817,9.6115,8.0859,,8.391,8.1033,8.2174,8.2145
45396,6.4298,,6.1509,6.905,6.2206,5.3143,6.1675,6.2803,7.6516,6.766,,7.5323,6.5813,7.7207,7.1513
45402,,,,4.1652,4.2923,,3.3462,3.4683,4.2957,4.2055,,2.9282,4.096,4.4315,4.0165
45403,5.8135,,,6.0025,4.136,,3.8405,5.4131,4.2017,6.0153,,,5.4643,4.1422,4.3371
45409,,,,8.3892,,5.8503,6.3164,6.3365,8.1147,7.8884,,8.845,6.9492,8.6932,7.0492
