Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,6.5638,0.2366,,,3.5457,,,,3.6741,2.0678,6.0746,,6.752,,2.6385
44804,6.5743,0.1714,,,0.1821,,,,3.8341,0.1385,7.2888,,7.5601,,0.2329
44808,6.357,0.0159,,,0.2289,,,,5.6538,2.4394,6.8823,,6.2442,,0.1599
44813,6.977,0.0291,,,0.0704,,,,5.5053,4.7916,6.1449,,7.8584,,4.5603
44815,6.6692,0.1194,,,0.7566,,,,7.7014,8.3162,5.843,,4.027,,7.5319
44820,6.4522,,,,0.0357,,,,7.9498,7.1982,5.8623,,6.4465,,3.0231
44822,6.8792,,,,0.4999,,,,9.1918,6.4912,6.0463,,6.6999,,2.5004
44827,7.4781,,,,0.4185,,,,7.4189,0.2257,5.625,,6.8106,,0.2209
44829,5.9434,,,,0.2938,,,,7.7112,6.9198,5.4804,,5.8793,,
44834,7.1319,1.5433,,,0.3937,,,,6.4597,7.7933,6.4155,,6.5907,,6.8488
44836,6.3326,0.431,,,0.6356,,,,8.2818,1.7092,5.4999,,5.4747,,3.4969
44841,6.2962,0.558,,,0.1655,,,,7.5954,1.583,5.444,,5.461,,5.5175
44843,6.3626,0.7982,,,0.453,,,,8.0466,1.8175,5.4282,,5.4093,,2.0563
44848,6.6932,0.1317,,,0.1859,,,,8.2213,1.0131,5.7055,,6.4854,,4.2105
44850,6.7829,0.2953,,,0.4144,,,,8.6072,0.1161,5.2991,,5.759,,6.0605
44855,6.9461,0.5805,,,1.3837,,,,8.4648,0.1869,6.2576,,6.3125,,5.0193
44862,7.903,0.7687,,,0.403,,,,8.8523,0.1632,7.8368,,7.6016,,2.1151
44864,7.0063,0.3102,,,0.4681,,,,7.3418,3.0321,6.2359,,6.868,,7.4567
45010,7.6205,5.2778,,,5.8991,,,,9.3088,6.3915,7.2983,,7.4626,,6.548
45035,7.8573,9.0961,,,0.0,,,,,0.0,6.9681,,0.0,,0.0
45156,6.7507,2.7875,3.8806,4.062,4.2008,,2.2776,3.4671,8.3293,1.5322,3.9241,2.3995,5.3033,4.2912,2.5791
45159,6.4566,0.2687,0.2261,0.3872,0.3551,,6.8806,2.0341,6.4719,3.6327,4.2999,3.659,5.1245,,0.2938
45163,5.9548,0.3862,0.3821,0.5898,0.3631,,6.618,0.6531,7.3815,2.445,5.978,0.4826,5.4077,4.8331,
45165,6.0982,,0.2247,1.0707,,,5.9433,0.2983,7.6829,4.8757,5.8252,5.0674,,3.3105,0.2681
45170,5.3564,0.116,0.1704,0.2972,0.1351,,6.1107,0.4576,6.6977,0.1299,5.1369,6.6053,4.6746,4.7634,0.0937
45172,4.3949,0.176,2.4322,1.1171,0.164,,2.5202,0.4002,6.0785,1.1667,5.1586,6.0397,2.2419,5.6852,0.1601
45177,6.2571,,0.178,0.2637,1.1709,,7.1764,0.4673,8.0263,0.0729,5.828,7.0085,,5.208,1.3698
45179,5.4975,0.2321,0.2741,0.3123,0.2142,,5.7614,0.505,5.7783,1.5587,5.7849,3.5862,5.3299,4.8971,0.2863
45184,,0.2171,0.1697,0.2736,0.2288,,7.3276,0.4231,7.4151,2.1357,7.4022,0.1353,4.8987,,3.5839
45186,,0.3566,0.2978,0.4728,,,6.704,0.7506,7.7498,2.6678,6.3213,7.4378,6.655,,2.6215
45191,,2.068,0.2829,0.3455,,,6.1888,,7.4706,4.0623,6.2063,0.0,3.5959,5.8952,0.6342
45198,,3.2307,,,,,6.5722,,7.384,2.6782,6.8607,7.613,,6.1537,0.2022
45200,,7.1798,,,,,6.4447,,4.2619,6.0684,5.0214,7.0561,6.7249,3.9539,5.1222
45205,,0.1806,0.1567,0.2572,,,6.2081,,7.7956,0.9473,6.5721,7.2877,7.0984,7.303,2.9651
45207,,0.3018,,0.3527,,,6.8177,,,5.0405,6.2053,8.1288,7.1871,6.5809,4.22
45212,,2.3279,,,,,6.0413,,5.8317,3.9998,7.2927,7.0773,6.6282,,2.2912
45219,,2.4913,2.7919,0.0,,,6.7307,0.0,7.8163,4.4358,6.8052,7.5575,6.6315,6.9109,5.658
45221,,0.2148,0.2002,0.2134,,,5.7945,,5.3806,1.7124,5.5191,6.383,6.0708,5.7426,2.1822
45226,,0.2694,0.2647,0.4602,,,5.7692,0.0,7.5112,7.681,6.5218,7.1922,5.6982,6.7691,2.575
45228,,0.1992,0.1742,0.2416,,,6.6246,1.0316,9.6849,5.2126,6.7075,5.9179,7.1133,6.5042,5.6524
45232,,0.1469,0.2019,0.231,,,6.5729,0.4126,8.2273,4.958,7.2851,7.9104,5.5508,7.416,2.8601
45396,6.2584,,6.1509,6.206,6.0997,5.0358,6.1591,6.2803,7.6516,6.3879,,6.4553,6.5413,7.7207,5.0311
45409,,,,7.626,,5.8503,5.7404,4.4237,6.834,4.9645,,7.3772,5.7071,7.2679,7.0492
