Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44804,3.478,4.3513,,,0.4905,,,,3.7059,3.8608,3.1135,,3.2413,,3.6256
44808,3.1128,3.8263,,,3.604,,,,3.2062,3.139,2.7857,,2.5687,,3.2202
44813,4.1149,5.0559,,,4.4073,,,,4.2534,3.9444,3.8728,,3.1471,,3.8112
44815,4.2145,4.4827,,,4.7113,,,,4.8461,4.3986,3.8802,,3.663,,4.4626
44820,3.8995,,,,4.7561,,,,4.2528,4.1958,3.366,,3.6077,,4.1962
44822,3.407,,,,4.4137,,,,1.1044,1.0302,3.2828,,2.8171,,3.63
44827,4.3714,,,,3.7806,,,,3.5254,3.6464,3.6399,,3.3243,,4.2282
44829,3.733,,,,4.8254,,,,4.4517,4.477,3.2069,,3.4318,,
44834,4.8728,4.7749,,,4.61,,,,4.2623,3.6948,3.7621,,2.8408,,4.6117
44836,3.1616,3.3736,,,3.5771,,,,3.5443,3.4584,3.0026,,2.4558,,3.1804
44841,4.4837,5.0712,,,5.2671,,,,3.8883,4.7399,3.9052,,3.6158,,4.2265
44843,4.1978,5.001,,,5.0796,,,,4.1039,4.997,3.8137,,3.3813,,4.2675
44848,4.1293,4.4063,,,5.0276,,,,3.7904,4.658,3.8647,,3.5011,,4.3577
44850,3.2811,4.1562,,,1.0411,,,,3.3368,4.0471,2.7997,,3.3118,,3.7079
44855,4.2314,4.3699,,,4.7737,,,,4.1568,4.2067,3.7194,,3.5785,,4.116
44862,3.8215,4.0258,,,4.2393,,,,3.7928,3.9479,3.48,,3.2344,,3.8495
44864,3.6756,3.6759,,,3.4075,,,,2.5873,3.335,2.8788,,3.1805,,3.0941
45010,4.7206,5.2198,,,5.4887,,,,0.0,5.0353,3.8376,,3.879,,4.7507
45017,3.9524,3.9049,,,4.1386,,,,0.0,3.9125,4.0938,,3.988,,0.0
45035,4.2974,5.7133,,,5.852,,,,,5.2649,5.4594,,4.3174,,5.0705
45039,1.8539,2.1763,,,2.2764,,,,2.1606,,1.9459,,0.368,,1.9683
45156,4.4196,4.2315,4.296,4.1058,4.4334,,3.9215,4.4321,4.6715,4.0138,3.763,4.634,2.5774,4.5558,4.6443
45159,3.0439,4.1253,3.7381,2.9167,3.9228,,3.1362,3.5544,3.6622,3.4652,2.7712,3.5347,3.5909,,3.1086
45163,4.5318,4.9276,4.897,4.512,4.7657,,4.4974,4.6391,4.5929,4.3062,4.0887,4.7111,4.1473,4.495,
45165,4.5576,,4.9363,4.7731,,,4.5194,4.9144,4.5875,4.4282,4.1475,5.1326,,4.6409,4.9395
45170,4.0544,4.268,4.2187,3.4642,4.2964,,4.0569,3.359,4.4705,3.9381,3.4331,3.335,3.7623,4.0114,4.3598
45172,3.9676,4.594,4.1215,3.9429,0.0,,4.0636,3.8952,3.74,3.7887,3.5451,4.2862,3.8476,4.0287,4.5119
45179,4.1022,4.268,4.0053,3.7687,4.3253,,4.0764,4.0239,4.3591,1.1985,3.2763,4.4954,3.1863,3.8353,3.9369
45184,,0.0,4.4655,4.4256,5.1027,,4.2557,4.6648,4.3033,4.1085,3.771,4.8297,2.1367,,4.2793
45186,,4.7314,4.5321,4.3591,,,3.7801,5.1205,3.4932,4.2458,3.5477,0.0,3.9624,,4.6853
45191,,4.582,3.957,4.0238,,,3.6451,,3.2305,3.5473,3.171,4.2751,3.474,3.774,3.7799
45198,,5.303,,,,,4.6504,,2.1925,4.0715,4.3226,5.0575,,4.8683,4.5937
45200,,4.7795,,,,,4.2388,,3.807,3.7845,3.5632,4.1841,3.784,4.1082,4.5119
45205,,5.0325,4.5414,4.6028,,,4.373,,3.8925,3.8405,3.908,4.9265,4.5727,4.2519,4.1428
45207,,4.7663,,4.6816,,,4.4164,,,4.0684,3.7984,5.3492,4.3721,4.2771,4.6127
45212,,4.7675,,,,,3.8955,,4.4563,4.2054,3.8017,4.7303,3.8248,,4.7544
45219,,0.0,4.424,0.0,,,3.7642,0.0,4.1365,3.7364,3.7511,4.5887,4.0165,3.9352,4.3746
45221,,1.1217,3.8365,4.0725,,,3.694,,3.616,1.1273,3.7038,4.2742,3.5502,1.2034,3.8216
45226,,5.3268,5.2362,4.6485,,,4.6146,0.0,4.5664,4.0017,4.4678,5.2638,4.4656,4.989,5.2583
45228,,4.5961,4.1056,0.0,,,4.2461,4.6798,4.1198,3.8649,4.0648,4.9364,3.5762,3.9727,4.6379
45232,,4.3997,3.7818,3.718,,,3.9677,4.1061,2.8926,3.8067,3.2695,0.9968,3.7991,2.7321,4.1408
45389,,,4.539,4.4862,,4.686,4.6156,5.43,4.643,4.8651,,5.5792,4.8646,4.8036,4.6531
45396,3.7392,,2.8538,3.5757,3.6393,3.3805,3.4577,3.335,3.9653,3.2298,,3.6019,2.7187,0.544,2.9953
45409,,,,4.2954,,0.0,0.0,0.0,5.0342,3.8052,,4.6957,4.2173,4.9455,4.9741
