Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,7.2401,1.4267,,,6.8045,,,,1.2711,1.52,5.8445,,5.2712,,4.9978
44804,6.2023,1.5067,,,1.4667,,,,6.5201,2.64,6.4978,,6.1689,,5.4378
44808,6.0623,1.2178,,,1.6089,,,,6.6578,1.2667,5.3578,,5.64,,5.6178
44813,6.6845,3.8289,,,5.2312,,,,5.3889,6.6912,6.0467,,6.1778,,6.1645
44815,6.2267,1.8311,,,1.5467,,,,6.1067,6.8001,5.7912,,1.4978,,6.5045
44820,6.0312,,,,1.0667,,,,5.6489,6.1756,6.7401,,6.5867,,6.8712
44822,6.0845,,,,1.7556,,,,6.4712,5.8756,6.5001,,5.0845,,6.3778
44827,6.0934,,,,3.4578,,,,5.4356,4.9734,6.0178,,6.0267,,6.6001
44829,6.6534,,,,1.4733,,,,6.1112,6.7867,5.7356,,6.0312,,
44834,6.6623,4.1289,,,3.2134,,,,5.7823,5.7956,6.08,,6.0445,,6.9089
44836,6.1712,3.7467,,,1.6378,,,,6.1912,4.8267,5.9556,,5.8045,,5.7689
44841,5.6267,3.0889,,,1.9222,,,,6.1489,6.1778,4.6267,,6.1156,,5.72
44843,6.3334,3.9311,,,2.6489,,,,5.92,3.5667,5.1578,,6.0845,,6.4178
44848,5.0356,1.6622,,,5.4667,,,,6.6956,5.5112,5.7289,,5.04,,5.9756
44850,6.0645,4.1156,,,3.5689,,,,6.0445,6.9601,4.5578,,5.8489,,5.9556
44855,6.6356,1.9578,,,1.7467,,,,6.0623,1.9133,5.36,,5.8489,,6.0956
44862,5.3467,3.9734,,,5.2,,,,5.9645,1.6445,5.1423,,6.0845,,6.4356
44864,6.4978,3.5689,,,1.8933,,,,5.6134,1.7711,5.5378,,6.4445,,5.4934
45010,5.6912,5.6134,,,6.1912,,,,6.0889,5.6134,6.2489,,5.3823,,6.1023
45035,6.0756,6.0645,,,6.9467,,,,,0.2844,6.0267,,0.0,,0.0
45156,6.7467,6.0,5.9978,5.3067,6.7201,,5.3467,5.84,6.6245,5.9423,5.8734,6.3845,1.04,6.6312,6.5601
45159,5.9312,1.4978,1.4378,1.4356,5.4578,,5.1912,1.5156,5.7689,6.4489,6.0045,5.48,5.0934,,5.3712
45163,5.9245,1.9578,1.7178,1.6156,2.5822,,6.5423,1.6845,6.8312,6.3356,6.3334,6.2889,5.96,6.4223,
45165,6.3556,,5.6778,1.5911,,,6.5023,6.2489,6.2112,5.6512,6.2001,6.1,,7.0245,1.4489
45170,6.7378,1.1445,1.0311,1.1511,1.5378,,6.8378,1.5756,5.7867,6.5112,6.2889,6.7756,6.9289,6.5267,1.1778
45172,6.4578,5.4734,1.1645,1.0911,1.4267,,6.1156,1.1511,6.2312,6.1289,6.5445,6.1912,6.2845,7.1778,1.6356
45177,6.1334,,1.4711,1.1756,1.4956,,5.9489,1.2022,6.2889,1.2845,6.7023,6.7156,,6.1778,6.3778
45179,6.8001,1.8533,1.9067,1.3733,2.0245,,5.6423,1.7111,6.6801,2.5822,6.0978,6.9089,6.8201,6.6667,5.6689
45184,,1.7133,1.5245,1.3556,1.5956,,5.7023,1.5711,5.16,1.4333,5.1556,5.8912,6.1689,,6.5423
45186,,1.64,1.4311,1.2222,,,6.4178,1.7111,6.5467,7.3089,5.4467,1.0267,6.6667,,5.6667
45191,,1.5822,1.5422,1.2111,,,6.5134,,6.4312,6.7556,7.1823,0.0,6.3467,6.1112,6.2556
45198,,1.4178,,,,,6.2245,,6.0134,5.7734,6.0667,5.0889,,6.7289,6.2356
45200,,6.2134,,,,,6.4089,,5.4845,6.0267,7.0578,5.2267,5.9045,6.2667,5.7556
45205,,1.7,6.0756,3.7067,,,5.6623,,6.3045,6.3334,7.2801,5.8489,6.4201,7.2356,5.5912
45207,,1.6845,,1.56,,,5.3267,,,6.4623,7.1223,5.6267,6.0667,7.0178,5.6912
45212,,0.7289,,,,,6.1845,,6.3556,5.5467,6.5601,5.8045,6.3512,,7.1378
45219,,1.8222,1.7467,0.3822,,,6.2223,0.0,6.1645,2.0489,5.6867,6.3778,6.2289,6.4401,6.2534
45221,,1.7578,1.4667,1.3556,,,5.4645,,6.1089,5.9289,6.1623,5.2823,6.8356,7.8445,6.1645
45226,,1.4933,1.3733,1.2533,,,5.7934,0.0,6.2601,6.1334,6.1489,5.7156,5.8489,6.3023,7.4489
45228,,1.5911,1.4689,1.1467,,,6.8223,5.0445,6.0623,5.8289,7.2045,6.5023,5.5467,6.6845,6.3201
45232,,1.4578,3.1911,1.4356,,,5.8312,1.5156,5.8489,6.5112,5.46,5.5823,5.3445,6.3423,6.3645
45389,,,5.8178,6.04,,6.4978,5.9756,6.2645,6.14,5.9267,,6.3245,6.5867,7.2934,7.1512
45396,6.5223,,5.7778,4.7689,6.3734,6.2312,5.7823,5.5089,6.8312,6.3334,,6.7512,6.0,6.7978,6.2223
45409,,,,6.4001,,6.0712,6.8578,5.7023,5.64,5.8889,,6.1378,5.7556,6.9423,5.6912
