Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44799,7.5512,6.3467,,,6.1112,,,,6.6734,6.1734,6.7801,,6.5823,,6.2356
44801,7.2401,5.2223,,,6.8045,,,,6.6845,6.1423,6.2001,,6.2267,,6.3378
44804,6.9156,5.8356,,,4.3378,,,,6.5201,5.5778,6.5467,,6.2756,,6.6134
44808,7.3378,5.64,,,5.6845,,,,6.6578,5.5289,6.06,,6.1912,,6.2756
44813,6.6845,5.7689,,,6.5467,,,,6.5089,6.9689,6.1245,,6.3401,,6.9378
44815,6.4801,5.96,,,6.0934,,,,6.5289,7.1623,6.1623,,6.5201,,6.8845
44820,6.3356,,,,6.0556,,,,6.7578,7.1445,7.1689,,6.9601,,6.8712
44822,6.6223,,,,6.2267,,,,6.4712,6.8978,6.5001,,6.1845,,7.3556
44827,7.1934,,,,5.4778,,,,6.1667,6.9867,7.3023,,6.0689,,7.3334
44829,6.6534,,,,6.0956,,,,6.3334,6.8801,6.0845,,6.4934,,
44834,7.2423,5.4356,,,6.0089,,,,6.7823,6.9556,6.7467,,6.3778,,7.0667
44836,7.0689,5.5734,,,5.4356,,,,7.0401,6.4134,7.1378,,6.7023,,6.7623
44841,6.9778,6.2934,,,6.6489,,,,6.1489,6.1778,6.5023,,6.5601,,6.5245
44843,6.7467,5.7845,,,6.12,,,,6.2067,6.3445,6.1178,,6.0845,,6.4178
44848,6.9423,5.8023,,,6.12,,,,6.6956,6.5378,5.8,,6.7956,,6.7112
44850,6.7245,5.72,,,4.7734,,,,6.6112,6.9601,5.9778,,6.8178,,7.2289
44855,7.1023,5.7334,,,6.3556,,,,6.4089,5.7778,7.0712,,6.4112,,6.4889
44862,6.4445,5.8223,,,6.6667,,,,6.8445,5.6623,6.5223,,6.0845,,6.7201
44864,6.4978,5.76,,,6.5378,,,,6.8178,6.8667,6.9823,,6.4445,,6.6534
45010,6.2512,6.4712,,,6.9067,,,,6.0889,5.9845,6.4689,,6.2112,,7.1112
45017,7.0623,5.9334,,,6.9289,,,,6.2312,6.7001,6.4178,,6.4667,,0.0
45032,6.6934,6.4267,,,7.3912,,,,7.1823,7.2978,6.6423,,6.2934,,6.6356
45035,6.0756,6.1067,,,6.9467,,,,,6.1178,6.3823,,5.5334,,6.5823
45039,6.8912,6.4889,,,6.9467,,,,6.7889,,6.5467,,7.4667,,6.5934
45156,6.7467,6.1534,6.5245,5.4578,6.7201,,6.6489,6.6289,6.6245,5.9423,6.8045,6.3845,6.0956,6.9512,6.8045
45159,6.8867,6.7289,6.1912,5.5445,6.1245,,5.6267,5.9689,6.3023,6.8601,6.5245,6.0134,6.5045,,6.3978
45163,6.3267,6.0312,6.6667,5.4712,6.0978,,6.5423,5.7423,6.8312,6.3356,6.3601,6.2889,6.5889,6.8134,
45165,6.3556,,6.5823,5.66,,,6.5023,6.6267,6.6134,6.3556,6.5867,6.5556,,7.0245,6.5467
45170,6.7378,6.1378,5.8067,5.2578,6.0112,,6.8378,6.5067,6.4445,6.5112,6.3912,6.7756,6.9289,6.5267,6.9378
45172,7.1312,6.2556,5.7934,5.4067,4.0334,,7.0801,6.1556,7.3356,6.4489,6.5445,7.5223,6.5867,7.6245,6.8267
45177,6.1334,,5.7512,5.2178,6.2178,,6.1156,6.4201,6.4534,6.7201,6.7023,6.7156,,7.0267,6.5112
45179,6.8001,5.7467,6.1689,5.1512,6.5445,,6.1778,6.5245,7.4489,6.4489,6.5778,6.9089,6.8201,7.0334,6.7778
45184,,5.8667,6.9378,5.8667,6.3378,,6.4267,6.0,6.9089,6.8423,6.9867,6.9867,7.3223,7.0712,6.5912
45186,,5.6489,5.6712,5.7578,,,6.6534,6.2978,6.9578,7.3089,6.2756,6.1245,6.9778,,7.2801
45191,,7.1312,6.1289,5.7823,,,6.6356,,6.8312,6.9667,7.1823,5.9245,6.3467,7.0667,6.6712
45198,,6.1134,,,,,6.6534,,6.5978,6.1245,6.7778,7.2823,,7.3778,6.4912
45200,,7.2712,,,,,6.8512,,6.6267,7.0289,7.3601,6.5089,6.2978,7.4045,7.1401
45205,,6.02,6.4023,6.0223,,,6.7778,,7.0223,6.3334,7.2801,7.0934,6.4201,7.3689,7.589
45207,,5.8845,6.4178,5.2556,,,6.7245,6.2756,6.9978,6.4889,7.1245,6.7912,6.2178,7.6023,6.6045
45212,,6.2178,,,,,6.4889,,6.4023,6.4578,6.8578,6.6534,6.3512,,7.1378
45219,,3.4178,6.2178,5.9534,,,6.5067,5.5378,6.9823,6.8045,7.0889,6.8934,6.9245,7.5156,6.9245
45221,,3.0089,6.1089,5.5823,,,6.4889,,6.2267,6.3156,6.7578,5.9378,7.2512,7.8445,6.1934
45226,,5.4756,5.6045,5.3512,,,6.7734,3.4689,6.9667,6.2756,7.1801,6.9245,6.5178,7.2667,7.4489
45228,,6.0289,5.6578,4.6623,,,6.8312,5.8823,7.1001,6.6512,7.2045,7.5089,6.9201,7.7378,6.9556
