Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw,Wilson
44950,4.9956,5.8045,,,5.1467,,,,,5.14,5.4312,,5.5645,,5.4578,
44952,5.8667,6.5734,,,,,,,6.7423,,6.5534,,7.0423,,6.9823,
44957,6.2223,6.4267,,,6.8023,,,,7.2401,7.1023,6.9712,,6.4956,,7.0489,
44964,5.9,7.4712,,,6.3334,,,,6.7178,6.0534,3.7578,,6.4689,,5.9912,
44965,3.0267,3.2889,,,5.0534,,,,3.6334,2.9534,,,2.9578,,3.08,
44966,3.5356,4.0889,,,2.9156,,,,3.1556,2.8222,2.6911,,2.8022,,2.2356,
44967,6.0134,7.4623,,,,,,,6.9889,6.4645,4.4489,,6.1734,,6.2423,
44971,5.8223,6.0978,,,6.3334,,,,6.2467,6.4356,5.7867,,5.8045,,6.2089,
44972,5.8,5.1245,,,4.9534,,,,5.3645,5.2045,5.4356,,5.3978,,5.3356,
44974,3.6578,3.1511,,,,,,,4.6023,3.7578,4.3111,,5.44,,9.0445,
44978,3.1934,3.8,,,3.7689,,,,4.4578,3.2622,4.3778,,3.8134,,,
44980,5.88,6.0356,,,,,,,,6.3334,6.0756,,5.4578,,6.4534,
44984,,,,,,,,,,,6.2845,,,,,
44985,6.1645,5.9289,,,6.4178,,,,6.7289,6.8489,,,8.0023,,6.9023,
44986,5.0356,5.4267,,,4.0578,,,,3.3734,4.2134,4.7111,,3.8911,,5.8823,
44987,6.1534,6.0,,,6.4267,,,,6.2778,6.1378,6.2934,,5.8934,,6.7867,
44988,6.5956,,,,6.2845,,,,,6.1245,5.7067,,5.5867,,6.2445,
44989,,7.0956,,,,,,,,,,,,,,
44991,3.9111,5.8267,,,,,,,3.7423,4.0889,5.9,,5.5489,,4.56,
44992,5.0578,5.3045,,,5.4378,,,,5.7689,5.8,5.3667,,4.8623,,5.1556,
44993,6.0045,5.6978,,,6.1689,,,,6.3112,6.4267,6.1,,6.2067,,6.2134,
44994,5.1,6.4312,,,6.9423,,,,6.5467,6.0845,6.0556,,6.1689,,7.0867,
44995,,,,,6.0712,,,,5.9289,5.8867,6.2001,,8.1378,,6.2578,
45005,7.7178,7.6356,,,7.8378,,,,8.0223,7.8867,7.9378,,7.4178,,8.1245,
45006,7.0045,5.9689,,,6.8178,,,,5.7867,,6.7201,,6.0267,,6.3578,
45007,6.1067,6.3601,,,6.8889,,,,6.2689,6.2267,6.2712,,6.2067,,7.1201,
45008,5.5712,,,,5.8556,,,,6.2378,5.8334,5.8045,,5.84,,5.4134,
45010,6.2512,6.4712,,,6.9067,,,,6.0889,5.9845,6.4689,,6.2112,,7.1112,
45013,7.0067,5.7934,,,6.7178,,,,6.4489,6.1023,6.2889,,7.6934,,6.7912,
45014,6.2334,6.2267,,,6.5245,,,,5.6134,6.2156,6.0267,,7.0801,,6.9334,
45016,,6.2934,,,6.5223,,,,6.16,6.0378,,,,,6.8867,
45017,7.0623,5.9334,,,6.9289,,,,6.2312,6.7001,6.4178,,6.4667,,0.0,
45020,5.42,5.6378,,,7.0667,,,,6.3045,6.0223,5.9467,,5.8067,,6.4801,
45022,7.1601,6.2623,,,6.9689,,,,6.9689,7.0845,6.9578,,6.5601,,6.4178,
45024,5.76,6.2089,,,6.6845,,,,6.4267,6.0045,6.0667,,0.0,,6.2645,
45026,5.7934,5.7245,,,6.9156,,,,6.0667,5.6689,,,7.0489,,6.3334,
45027,6.3067,,,,6.5667,,,,6.6178,7.2623,6.4267,,6.3601,,7.0734,
45028,,,,,6.1578,,,,6.1089,5.9912,5.8867,,5.3023,,6.5334,
45029,6.1312,,,,6.0578,,,,5.7823,6.9623,6.4978,,5.9156,,6.5912,
45030,,5.9489,,,6.2512,,,,5.7378,5.8534,5.8667,,5.42,,5.8312,
45032,6.6934,6.4267,,,7.3912,,,,7.1823,7.2978,6.6423,,6.2934,,6.6356,
45034,6.9067,,,,7.0556,,,,7.2623,7.8556,,,6.6489,,7.7112,
45035,6.0756,6.1067,,,6.9467,,,,,6.1178,6.3823,,5.5334,,6.5823,
45036,5.3378,5.6267,,,5.54,,,,5.42,,5.7934,,5.3756,,6.4178,
45039,6.8912,6.4889,,,6.9467,,,,6.7889,,6.5467,,7.4667,,6.5934,
45041,5.68,5.8489,,,6.6534,,,,5.9912,,5.6667,,6.3378,,5.9934,
45042,5.9912,6.2245,,,5.6312,,,,5.6512,,6.1978,,6.4089,,6.6312,
45043,5.4623,,,,6.8134,,,,6.3778,,6.9378,,5.9334,,6.2201,
45337,,5.0756,5.3067,5.1445,,5.1378,4.9778,5.3312,,5.1845,,5.5778,5.3623,,5.2489,
45342,7.1401,,6.2267,6.2823,6.9089,6.3023,6.8445,6.4601,,6.3312,,6.4578,6.3312,,7.1245,
45344,7.8845,,,6.5645,,6.6489,6.5867,6.7956,,,,7.2756,6.8534,,7.6112,
45345,,,,,,,,,5.3623,,,,,,,
45349,,,,,,,,,6.7401,,,,,,,
45351,7.0489,,,6.3578,6.8067,6.2578,6.4734,,,6.8112,,,6.2401,,6.6556,6.3778
45355,,,6.5378,6.3134,0.0,6.5601,6.9201,6.08,,6.6934,,,6.8267,,6.9645,
45356,6.3956,,,6.08,6.7023,6.0712,6.0356,,,6.1667,,,5.9623,,6.7067,
45357,,,5.9223,6.2267,6.5423,6.4889,6.7067,6.5112,,6.1689,,,6.7778,,6.5178,
45358,6.3801,,,6.7112,6.8534,6.5023,6.6001,,,,,6.8467,,,7.0245,
45369,,,,6.3601,6.6334,6.5889,6.2889,,6.7801,6.3289,,7.0934,6.7023,,7.1067,
45370,5.0912,,,5.1467,5.3734,,5.1112,5.26,,5.2956,,5.4156,5.1134,,5.3667,
45371,,,,6.0223,,,5.9245,6.8801,6.8223,6.4823,,6.5134,7.0312,,6.6001,
45372,,,,6.8578,7.2756,,6.6534,6.8401,6.6978,7.2089,,7.1734,7.0156,,7.5289,6.7156
45376,7.1423,,,5.6534,7.0223,5.8267,6.5623,6.3712,7.0867,6.9667,,6.6445,6.8489,,6.5156,
45377,,,,7.5112,7.8578,,7.4089,,,,,8.0556,7.3223,,8.1734,7.849
45378,,,,5.9734,,5.8445,6.5156,6.2978,6.6089,7.1734,,7.2489,,,6.8156,
45379,6.7245,,,6.5378,7.2378,6.7601,7.4356,6.9201,6.7889,6.5867,,8.069,6.9112,,6.6667,
45384,7.1201,,7.0223,6.9067,6.7734,6.3601,6.8134,6.7334,,6.3645,,6.9912,7.4934,,6.8534,7.7445
45386,,,6.4978,6.5734,6.5601,7.1801,7.1689,7.0801,6.7778,6.6267,,7.9467,6.9978,,7.729,7.5734
45387,6.5467,,5.8178,6.0489,7.0089,5.9089,6.6489,6.8978,7.0845,6.4734,,6.5378,6.8623,,6.9312,
45388,6.8756,,6.6089,5.9423,6.8467,5.8134,6.3689,,7.0845,5.8578,,6.5512,6.9912,6.9156,6.9978,
45389,,,6.8134,6.1112,,6.4978,7.0623,6.2645,6.7023,5.9778,,7.1378,6.5867,7.2934,7.4045,
45391,,,5.9445,6.4667,6.8134,6.2467,,6.4578,,6.6223,,6.4489,6.6089,,7.3512,6.6267
45393,,,6.3912,5.8267,6.8134,6.3645,6.2889,6.9623,7.4245,6.8889,,6.8734,6.9778,,7.2845,6.2223
45395,6.7467,,6.1778,5.5378,,5.86,6.9267,5.8534,6.9912,6.6445,,6.6001,6.9045,,6.4667,
45396,6.5889,,5.7778,6.2778,6.6734,6.7334,6.08,6.1378,6.8312,6.3334,,6.7512,6.3378,7.5601,6.4756,
45398,6.3245,,6.3223,6.3178,7.0001,5.4267,6.5312,6.8778,6.3067,7.0067,,6.6045,6.4489,,6.8889,6.2578
45400,6.5067,,5.1378,6.5156,6.9867,,7.2801,7.0978,7.1089,7.6112,,7.5156,6.8356,,7.3201,6.8401
