Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44799,22.6086,6.2762,,,9.7468,,,,13.5476,11.7944,32.6306,,20.0926,,15.8509
44801,42.8596,7.1648,,,47.8192,,,,24.44,10.6629,46.139,,42.2128,,30.4571
44804,44.5622,23.7049,,,2.6529,,,,20.7518,19.4026,43.9774,,46.8347,,38.4111
44808,37.8089,19.5487,,,15.6446,,,,40.7499,14.285,36.0431,,34.5898,,14.1427
44813,52.1808,28.493,,,52.5509,,,,34.6344,50.598,53.489,,44.5841,,28.02
44815,50.9137,25.5788,,,23.8656,,,,54.2292,56.3755,40.7293,,26.4062,,44.4672
44820,45.8603,,,,22.9233,,,,52.5956,40.8229,45.4323,,48.1553,,42.6251
44822,49.6053,,,,21.7162,,,,53.5128,59.3753,39.8574,,44.4831,,47.2347
44827,52.8791,,,,18.8064,,,,60.8387,37.7507,41.9921,,48.9443,,44.8616
44829,49.5433,,,,25.8906,,,,59.8647,51.9205,40.5143,,43.7548,,
44834,45.0873,29.2266,,,25.5912,,,,50.9364,57.5088,39.3604,,40.2169,,41.5449
44836,48.3749,18.4636,,,17.758,,,,59.638,21.3808,38.9055,,43.9578,,24.0183
44841,46.5484,29.8325,,,27.6724,,,,54.0355,27.2688,38.2658,,41.5329,,33.5267
44843,39.6062,30.0922,,,26.9441,,,,49.227,28.5341,35.133,,34.5855,,37.6811
44848,51.1083,25.1247,,,25.0163,,,,60.0275,26.5739,35.2589,,40.2471,,25.933
44850,38.9942,23.9801,,,19.0593,,,,51.6814,23.248,30.942,,35.695,,47.2181
44855,46.8889,24.0795,,,23.5081,,,,53.7868,21.6348,37.0714,,37.6319,,38.5054
44862,48.7554,22.8704,,,37.6779,,,,55.2303,20.6193,46.6107,,46.3771,,28.4786
44864,46.2881,21.1479,,,16.9179,,,,50.205,18.4844,38.9728,,40.6429,,44.3051
45010,49.3426,35.5326,,,51.1282,,,,60.2138,38.0813,45.3826,,45.7995,,40.015
45017,39.9335,38.5786,,,41.2058,,,,40.7548,28.3171,34.0955,,35.2704,,0.0
45032,40.0622,36.7884,,,39.3776,,,,45.5492,29.6907,33.1502,,33.111,,27.8687
45035,47.4934,62.2017,,,46.1062,,,,,30.0905,44.8771,,22.6945,,27.9128
45039,40.7401,51.7178,,,43.1834,,,,50.7244,,34.1765,,30.7692,,41.0791
45156,46.8753,23.6665,23.0985,25.4697,33.1259,,39.7977,29.3158,52.0445,21.5196,38.8706,33.7481,32.1029,23.6267,28.1768
45159,39.7706,21.5454,29.542,47.8905,29.9561,,42.0483,18.3305,51.102,19.6545,32.3529,31.4307,27.9721,,27.8616
45163,46.7422,27.1804,25.8911,21.7966,24.2632,,41.6317,22.0865,50.1205,23.9393,33.7112,33.8318,36.2701,30.0449,
45165,38.5327,,27.3627,22.8946,,,41.8195,25.4082,52.8557,38.9314,39.7256,42.1388,,31.4494,27.1131
45170,35.2751,22.9312,21.7632,13.2785,19.9228,,39.3152,15.201,47.1395,22.8436,39.4402,41.7075,38.3745,36.2885,22.7349
45172,37.5277,32.7042,19.5074,22.3189,4.7519,,39.8194,19.32,49.0031,26.3713,39.6101,39.3745,34.0628,29.1513,21.8595
45177,42.1291,,4.8951,4.8421,8.187,,48.2431,4.7636,54.3476,29.9416,35.6052,41.8041,,42.9973,24.8567
45179,45.13,20.008,18.1576,17.0815,20.8218,,30.3101,18.5554,48.4555,20.0231,32.7003,42.5521,30.4169,34.3362,19.3137
45184,,15.1881,22.2058,20.7233,24.761,,46.7511,22.1992,53.0643,21.1581,42.7558,47.2828,45.9212,21.6821,20.6246
45186,,27.4191,24.0752,21.7083,,,49.1577,26.3691,58.8181,23.6932,45.5747,44.3644,50.0465,,23.8564
45191,,24.2619,18.3618,17.0635,,,37.2071,,48.2994,22.5081,33.5736,23.6224,35.6389,41.6954,18.0311
45198,,29.5055,,,,,38.7131,,50.7062,21.0119,40.7489,46.6876,,34.0547,23.0134
45200,,40.215,,,,,35.9975,,47.4936,33.1172,33.8877,39.251,38.7186,33.9869,37.4478
45205,,26.8906,23.9408,21.2691,,,41.4551,,55.8626,20.2982,40.7195,51.6731,44.4913,40.5197,22.1683
45207,,27.8099,8.7288,22.9706,,,44.215,6.9457,33.7339,36.0748,40.8289,51.9724,41.1826,37.3314,24.3712
45212,,24.8251,,,,,39.8745,,57.1306,23.4282,49.9905,50.2282,37.254,,25.6457
45219,,9.8403,22.4535,9.658,,,43.6464,10.2891,49.1436,23.4166,44.9397,47.8637,43.3702,37.3857,36.6483
45221,,3.851,19.31,19.7748,,,44.8952,,57.9178,28.0702,38.5688,48.6691,50.0091,44.6946,24.1477
45226,,28.3035,28.4536,22.1785,,,39.8943,0.2721,47.4792,44.3082,38.2479,45.9288,44.3254,38.1492,26.8623
45228,,22.6999,19.584,8.4349,,,42.1514,22.252,60.0289,29.3125,51.0298,49.5435,39.8939,44.2527,33.0151
45232,,24.5667,18.0765,15.8053,,,37.3425,19.8314,51.454,26.3378,44.2481,49.9345,40.2787,41.728,24.4801
45389,,,42.675,55.5049,,36.8793,41.8114,41.5225,61.2015,51.3436,,51.9109,48.2315,47.0418,48.1588
45396,36.0241,,34.2688,44.0919,35.2124,31.2797,33.9832,32.492,43.9038,39.7425,,42.0289,37.9813,39.7048,44.2
45402,,,,23.1652,23.1925,,15.2959,17.4972,22.2966,24.6636,,15.138,20.2585,23.2677,21.7499
45403,36.7071,,,35.3853,23.2013,,20.0352,30.4384,21.194,36.5517,,,30.7695,22.0627,24.4551
45409,,,,52.5712,,33.4929,34.5431,36.2335,48.5903,46.8681,,57.1741,41.3183,47.2789,42.6622
