Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,42.6694,0.0165,,,5.3141,,,,24.44,0.0413,35.7716,,35.7107,,30.4571
44804,35.8969,2.492,,,0.7436,,,,16.5308,0.6197,34.6836,,33.6682,,15.1468
44808,37.8089,0.2926,,,0.2464,,,,40.7499,0.0,29.1477,,26.5784,,11.5414
44813,52.1808,0.0,,,52.5509,,,,34.6344,29.4097,53.489,,16.2555,,23.0769
44815,46.6274,0.9101,,,0.6781,,,,48.9605,56.3755,36.4326,,15.7477,,37.1375
44820,39.6055,,,,0.598,,,,48.9011,25.6116,31.6689,,42.3533,,33.5906
44822,49.6053,,,,0.0,,,,51.5362,59.3753,39.8574,,44.4831,,25.8552
44827,52.8791,,,,0.0576,,,,60.8387,37.7507,41.9921,,48.9443,,17.5336
44829,49.5433,,,,0.1438,,,,59.8647,9.4545,40.5143,,43.7548,,
44834,44.4572,2.5111,,,0.0861,,,,50.9364,27.8037,35.254,,39.2883,,16.8616
44836,48.3749,0.9136,,,0.0088,,,,59.638,18.9213,38.9055,,42.5422,,24.0183
44841,46.5237,0.8074,,,0.7205,,,,48.7805,0.7726,35.0955,,41.5329,,27.545
44843,39.6062,2.9427,,,1.3079,,,,47.2349,6.2132,35.133,,34.5855,,37.6811
44848,51.1083,1.8929,,,0.1765,,,,60.0275,0.0,35.2589,,40.2471,,15.9164
44850,36.5938,1.7204,,,0.0,,,,43.8702,0.0,30.942,,35.695,,36.9243
44855,46.8889,2.8887,,,0.6349,,,,52.0317,0.627,37.0714,,37.6319,,13.7053
44862,48.7554,0.777,,,0.7373,,,,54.8597,0.6104,45.1086,,42.8889,,28.4786
44864,45.2391,0.8776,,,0.7955,,,,50.205,0.7545,36.9556,,40.6429,,28.8585
45010,48.1361,35.5326,,,40.0652,,,,60.0326,38.0611,44.1039,,43.8478,,37.7242
45035,32.3043,41.9562,,,31.9877,,,,,10.8961,28.775,,6.0391,,0.0
45156,46.8753,7.7199,0.0,12.5848,33.1259,,39.2968,0.0,36.7424,17.779,37.2043,33.7481,0.0,21.8399,28.1768
45159,39.7706,0.0246,0.0164,6.9731,0.0246,,42.0483,0.0164,51.102,15.118,29.8238,12.8728,27.9721,,0.0
45163,46.7422,0.0089,0.4284,3.2941,0.4195,,41.6317,0.2321,50.1205,9.5591,33.7112,14.264,30.4534,23.2149,
45165,38.5327,,0.5891,3.7134,,,41.8195,0.686,52.8557,21.5479,39.7256,40.0761,,31.4494,15.4724
45170,32.8466,0.7302,0.5215,0.5536,0.7221,,39.1046,0.5857,47.1395,0.5295,37.487,41.7075,38.3745,36.2885,0.7061
45172,33.8486,0.0795,0.0,0.0,0.0,,39.8194,0.0,40.4334,0.0072,28.4528,39.3745,34.0628,29.1513,14.1072
45177,42.1291,,0.0377,0.0,0.0,,48.2431,0.0,54.3476,29.9416,35.538,30.1743,,29.7127,0.0
45179,34.5477,0.0216,0.0289,0.0505,0.0,,27.0144,0.0,44.9293,20.0231,23.9414,42.5521,23.2184,26.3632,0.0361
45184,,0.0,0.0264,0.0176,0.0176,,46.7511,0.1407,53.0643,16.3384,42.469,47.2828,33.7232,,20.0035
45186,,0.335,0.0,0.0,,,49.1577,0.0931,58.8181,0.3723,45.5747,0.0,50.0465,,23.7249
45191,,0.595,0.4922,0.5656,,,37.2071,,48.2994,17.329,31.8739,0.0,31.1049,41.6954,12.9518
45198,,0.639,,,,,38.4621,,49.2913,20.0925,35.8082,46.2069,,29.3772,5.4862
45200,,0.6545,,,,,35.9975,,45.7801,10.8424,33.8877,35.7308,38.7186,29.5526,24.9326
45205,,4.8533,0.1615,0.0,,,41.4551,,55.8626,8.4956,40.7195,51.6731,44.4913,39.4491,14.642
45207,,0.7714,,0.6428,,,44.215,,,10.6692,39.1612,51.9724,41.1826,37.2058,19.0599
45212,,0.0,,,,,39.8745,,57.1306,11.9795,49.9905,50.2282,37.254,,19.2622
45219,,0.0,0.0,0.0,,,43.6464,0.0,49.1436,0.0184,44.9397,47.8637,43.3702,34.6441,32.9865
45221,,0.2188,0.0,0.0,,,44.8952,,57.9178,11.887,38.5688,48.6691,50.0091,44.6946,24.1477
45226,,0.0,0.1799,0.0,,,38.5139,0.0,47.1412,11.6943,38.2479,45.9288,44.3254,38.1492,9.5346
45228,,1.0332,0.5447,0.865,,,35.3064,0.5526,23.3301,22.3308,35.01,49.5435,14.2571,37.6342,20.4646
45232,,2.5032,0.2349,0.8829,,,32.5557,0.8264,51.454,18.1479,40.7242,42.7704,40.2787,40.0405,15.3516
45389,,,42.675,54.7958,,36.8793,41.8114,29.7005,57.5501,51.3436,,50.1501,48.2315,47.0418,48.1588
45396,30.814,,16.84,42.2825,35.2124,24.1725,27.2258,23.9834,41.7806,34.485,,39.5403,32.8168,29.8516,35.0913
45409,,,,52.5712,,23.6182,31.4961,23.9063,48.5903,44.182,,52.4499,41.3183,42.7627,40.2061
