Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44799,22.6086,6.2762,,,9.7468,,,,13.5476,11.7944,32.6306,,20.0926,,15.8509
44801,21.5122,7.1648,,,19.1838,,,,9.9308,6.294,24.3261,,22.5449,,13.5442
44804,25.728,6.8479,,,1.0325,,,,12.9343,5.5724,26.208,,17.782,,14.1677
44808,20.4045,5.1522,,,6.621,,,,17.2572,5.8071,18.2279,,14.8732,,7.2651
44813,28.374,7.2836,,,19.4172,,,,18.1443,20.7496,27.6261,,18.794,,13.7475
44815,27.5943,7.8959,,,10.1644,,,,30.9693,32.2244,23.697,,13.0536,,28.9386
44820,26.6999,,,,5.0922,,,,23.4228,18.3191,25.3327,,19.6222,,18.6008
44822,27.4479,,,,7.5396,,,,33.7754,18.0862,24.8957,,24.9571,,23.3498
44827,31.743,,,,6.8767,,,,32.9243,12.0404,23.8041,,25.4614,,19.7687
44829,28.922,,,,7.2348,,,,31.9324,26.8899,25.2069,,24.6197,,
44834,29.99,10.886,,,9.7681,,,,28.5348,27.9647,27.8431,,23.6184,,27.3751
44836,28.181,11.1382,,,8.3219,,,,24.1233,14.0888,22.1188,,24.0947,,15.489
44841,30.7492,7.3672,,,7.8438,,,,32.4197,11.987,22.2481,,23.6004,,23.0652
44843,28.8574,9.6378,,,7.91,,,,30.9816,12.3627,24.3534,,24.3489,,16.9614
44848,30.9992,10.7924,,,9.8811,,,,34.0716,12.6677,21.1869,,25.8177,,17.5532
44850,22.3837,9.7308,,,2.185,,,,31.7931,9.5906,19.8751,,19.7301,,26.4608
44855,32.3121,8.0554,,,9.5099,,,,34.6443,6.3916,23.7239,,25.2645,,19.8599
44862,31.3938,9.2333,,,15.343,,,,33.0948,7.233,29.7926,,26.2844,,17.4846
44864,28.373,8.777,,,6.2621,,,,28.959,11.0767,24.2545,,24.0287,,21.7952
45010,29.5258,20.4248,,,28.0307,,,,35.1522,22.6684,24.5536,,26.0573,,22.5578
45017,39.9335,38.5786,,,41.2058,,,,40.7548,28.3171,34.0955,,35.2704,,0.0
45032,40.0622,36.7884,,,39.3776,,,,45.5492,29.6907,33.1502,,33.111,,27.8687
45035,31.0251,31.7578,,,32.585,,,,,15.1355,27.3799,,13.9348,,20.846
45039,40.7401,51.7178,,,43.1834,,,,50.7244,,34.1765,,30.7692,,41.0791
45156,25.6245,14.384,11.4562,15.2635,15.9223,,20.4526,13.0632,26.3216,14.88,22.0717,16.6141,11.1407,16.3533,16.0426
45159,22.2722,7.3016,7.6909,9.2379,8.6079,,18.1756,7.2575,25.2061,12.534,18.4231,15.4718,18.1668,,9.2028
45163,26.0544,6.9198,7.0344,7.0702,7.3173,,23.3915,7.6275,29.0842,13.1187,22.8383,15.14,25.038,21.3867,
45165,23.831,,10.1697,7.9839,,,22.7307,8.8002,29.6635,21.9637,25.0457,27.156,,17.0684,10.3748
45170,24.1651,7.5894,4.4152,3.5894,5.8049,,28.1761,4.554,28.9336,9.6568,24.4131,22.9651,22.1634,21.2262,8.6764
45172,19.6472,10.4831,7.6362,9.6084,1.7918,,24.4572,7.006,22.2863,13.387,23.635,23.015,13.5422,20.7499,10.4591
45177,23.9908,,4.8951,4.8421,6.8763,,24.9071,4.7636,28.5103,10.4287,21.1821,20.279,,23.078,10.1109
45179,20.0048,5.0345,4.5142,4.3159,5.5179,,22.598,4.7947,29.2535,8.9797,22.1204,22.5926,18.5919,23.0021,6.9009
45184,,4.3415,6.3626,7.2246,7.083,,27.7511,7.745,30.9957,11.7979,26.2862,24.3161,26.2358,21.6821,16.3273
45186,,6.5877,6.2302,5.5741,,,27.9989,6.9863,32.2075,13.2553,26.0597,35.9519,28.0618,,15.5058
45191,,11.2143,5.9227,5.6103,,,25.8917,,32.0606,15.1562,23.7863,23.6224,21.94,23.4005,11.8828
45198,,11.4104,,,,,29.1487,,31.7164,14.1667,26.9677,34.3036,,23.1776,12.7574
45200,,18.469,,,,,23.8295,,26.0628,18.7568,21.9204,24.2002,22.3833,17.7282,21.1107
45205,,11.3558,10.8285,6.7147,,,22.3021,,32.2207,10.4744,25.3355,35.4945,28.2843,25.2902,14.0706
45207,,10.9785,8.7288,7.9659,,,30.6868,6.9457,33.7339,17.4638,27.6827,35.2492,28.5543,24.2011,15.1677
45212,,11.3202,,,,,23.3466,,25.9985,16.369,28.2123,31.0749,19.3364,,15.6923
45219,,1.4093,8.2177,9.658,,,28.2617,10.2891,29.7493,12.2194,32.5535,29.9046,25.7199,27.4929,25.4551
45221,,1.2104,6.6162,5.2155,,,26.6401,,28.7585,10.2278,24.1903,30.7458,25.3973,25.7172,14.4718
45226,,5.6082,6.3328,3.5999,,,25.057,0.2721,30.8484,19.2371,27.0578,30.6045,24.9977,26.3437,11.846
45228,,5.3152,4.5877,0.8463,,,26.1375,5.5842,22.5649,15.8129,27.4617,29.2213,21.0816,24.514,15.1993
45232,,7.2237,5.3999,4.2855,,,25.1459,5.8188,33.7266,19.4451,28.2694,28.1289,26.6907,14.0723,14.2262
45389,,,25.8307,19.7445,,21.3667,29.8736,29.2159,20.8984,29.8502,,18.8952,17.8342,17.462,33.521
45396,21.6369,,17.1292,25.5948,22.4902,19.1737,18.6736,16.5118,22.248,24.4308,,23.5724,21.2053,22.2397,24.3764
45402,,,,23.1652,23.1925,,15.2959,17.4972,22.2966,24.6636,,15.138,20.2585,23.2677,21.7499
45403,36.7071,,,35.3853,23.2013,,20.0352,30.4384,21.194,36.5517,,,30.7695,22.0627,24.4551
45409,,,,32.4407,,19.6088,22.9562,22.8829,28.778,27.5216,,30.0593,25.0058,29.4998,27.9216
