Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw,Wilson
44950,19.8569,31.7453,,,49.8373,,,,,28.1792,57.0316,,32.1542,,19.3808,
44952,29.9714,24.8398,,,,,,,28.6403,,25.7043,,21.4735,,27.6299,
44957,18.7927,20.4819,,,20.9297,,,,22.0207,21.8331,20.1071,,20.0679,,23.1445,
44964,41.4868,61.3656,,,58.3523,,,,62.0248,55.7059,56.037,,51.1552,,34.5292,
44965,1.8454,1.7527,,,2.1348,,,,1.7996,2.0602,,,1.3559,,1.1865,
44966,0.666,0.8745,,,0.9274,,,,0.5774,0.6719,0.4848,,0.9021,,0.4455,
44967,22.833,24.353,,,,,,,19.6615,22.1963,24.8271,,21.5479,,21.0834,
44971,21.111,15.7414,,,26.3308,,,,22.3525,12.2275,21.4503,,17.1318,,20.4042,
44972,7.1893,16.1049,,,12.5388,,,,7.3097,10.9564,9.6381,,11.1951,,15.1861,
44974,1.6681,1.3764,,,,,,,0.8873,2.1563,2.1384,,3.0669,,1.9484,
44978,1.5961,4.2177,,,2.3721,,,,2.1154,2.4213,1.7031,,2.9242,,,
44980,13.579,15.4036,,,,,,,,15.2348,9.7649,,10.6457,,12.1797,
44984,,,,,,,,,,,34.6358,,,,,
44985,23.6466,26.0311,,,26.1101,,,,25.891,22.2977,,,24.9104,,25.3953,
44986,4.0225,1.9528,,,3.4962,,,,2.964,4.7171,4.4554,,3.4216,,3.4953,
44987,18.7901,22.7743,,,21.9718,,,,4.2845,22.8175,17.0446,,19.0586,,19.4701,
44988,55.4938,,,,54.668,,,,,60.7148,55.6747,,58.7554,,57.6724,
44989,,62.9728,,,,,,,,,,,,,,
44991,90.2173,86.5639,,,,,,,99.9258,82.4937,27.5708,,92.8227,,92.4802,
44992,24.5305,29.4956,,,28.578,,,,33.2895,29.9308,26.8201,,23.5562,,24.0137,
44993,16.0469,22.2693,,,21.9068,,,,22.581,24.9157,18.3032,,17.3164,,19.669,
44994,3.8634,18.3619,,,17.4986,,,,15.928,20.605,14.5899,,15.8301,,15.8811,
44995,,,,,21.6661,,,,22.4268,25.4546,19.0332,,28.157,,20.727,
45005,11.6306,12.0237,,,12.3282,,,,14.7373,12.9827,8.2919,,12.5871,,9.0329,
45006,18.8619,25.2316,,,26.6165,,,,21.3259,,20.0789,,20.3339,,23.5044,
45007,15.5192,19.1304,,,17.583,,,,17.8267,21.0584,15.3913,,16.014,,18.0324,
45008,12.9689,,,,17.6992,,,,12.3774,16.3022,9.6294,,8.6163,,13.022,
45010,29.5258,20.4248,,,28.0307,,,,35.1522,22.6684,24.5536,,26.0573,,22.5578,
45013,17.3752,21.5313,,,21.4809,,,,16.3448,20.2951,15.5066,,15.7057,,19.141,
45014,14.7174,16.8046,,,19.6487,,,,11.2888,20.6768,14.4707,,17.4557,,18.3806,
45016,,24.8639,,,22.0722,,,,22.0519,5.7665,,,,,18.347,
45017,19.6996,20.8429,,,20.6105,,,,29.654,14.7513,17.8186,,18.6246,,0.0,
45020,11.1488,22.009,,,15.1129,,,,14.5939,17.6221,14.8727,,11.1126,,16.0422,
45022,31.1358,23.1491,,,27.3204,,,,30.1807,27.0369,34.319,,19.1609,,28.636,
45024,29.1074,28.3844,,,28.293,,,,34.4273,30.0526,31.0762,,0.0,,34.8797,
45026,31.31,38.405,,,30.3176,,,,39.9088,31.126,,,36.5527,,36.6882,
45027,16.2154,,,,22.873,,,,20.9538,21.8659,13.6444,,13.2342,,18.5595,
45028,,,,,19.3994,,,,13.763,17.1246,9.8783,,11.0336,,18.0269,
45029,17.304,,,,24.5274,,,,23.0087,21.9956,14.2351,,12.3053,,15.9596,
45030,,11.7262,,,10.737,,,,13.2443,14.1872,7.1547,,5.5648,,9.6254,
45032,24.6025,28.1406,,,27.6095,,,,28.0833,17.7332,22.0425,,20.3496,,18.0555,
45034,8.3725,,,,9.1061,,,,7.4521,8.5421,,,9.1199,,7.8486,
45035,31.0251,31.7578,,,32.585,,,,,15.1355,27.3799,,13.9348,,20.846,
45036,7.9949,11.8295,,,9.965,,,,11.077,,7.2448,,7.7592,,10.8738,
45039,19.7941,22.6059,,,21.9835,,,,23.3885,,16.6361,,10.58,,19.3684,
45041,15.4565,23.1832,,,17.6082,,,,19.2289,,14.9569,,20.9373,,16.4697,
45042,13.7663,11.8656,,,17.9231,,,,14.8638,,12.9839,,14.7909,,15.7199,
45043,1.454,,,,11.1228,,,,10.9172,,9.7397,,12.3621,,13.1348,
45337,,31.4837,39.7316,36.7051,,35.5002,32.8007,4.5552,,34.4564,,39.2803,36.3166,,32.4892,
45342,28.6642,,22.9609,28.8387,27.1763,7.8528,28.2417,25.6465,,24.9638,,28.1699,28.4805,,25.5492,
45344,39.366,,,42.0609,,40.9068,38.584,41.097,,,,45.2919,44.4003,,41.1738,
45345,,,,,,,,,7.4233,,,,,,,
45349,,,,,,,,,10.6943,,,,,,,
45351,36.6401,,,42.5159,41.6197,7.436,44.3224,,,39.3831,,,52.1695,,41.0606,31.7312
45355,,,12.7078,12.2638,0.0,14.4819,11.9885,13.5955,,17.1159,,,13.7478,,15.6511,
45356,32.2348,,,32.3522,29.2468,31.9614,32.7021,,,31.2812,,,29.8678,,32.4562,
45357,,,14.0085,15.1092,18.6384,17.0773,13.9956,17.068,,16.7727,,,14.306,,16.6224,
45358,34.2511,,,40.4441,38.6557,39.9881,42.9162,,,,,41.5246,,,40.4505,
45369,,,,17.5292,20.8625,18.0857,16.0981,,18.5833,19.6682,,16.0871,17.1741,,20.0257,
45370,55.0913,,,32.1742,50.5799,,31.703,40.4174,,57.4809,,58.7522,52.3484,,63.9737,
45371,,,,9.4036,,,8.4392,12.7663,14.7767,13.488,,11.5902,13.3596,,13.0396,
45372,,,,19.214,20.2395,,15.6176,20.4079,18.6571,23.0533,,17.4064,17.6315,,20.7527,20.8555
45376,17.9533,,,16.0057,20.3101,13.9915,13.4394,20.4874,20.8349,20.8894,,16.7092,14.0945,,19.9069,
45377,,,,9.3609,9.3586,,10.4033,,,,,9.6997,10.3873,,12.5326,12.0754
